Hanzi,Pinyin,Definition,HSK level,Pinyin + Definition
的,de,"possessive, adjectival suffix",1,"de - possessive, adjectival suffix"
一,yī,"one; a, an; alone",1,"yī - one; a, an; alone"
是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",1,"shì - indeed, yes, right; to be; demonstrative pronoun, this, that"
不,bù,"no, not; un-; negative prefix",1,"bù - no, not; un-; negative prefix"
了,le,to finish; particle of completed action,1,le - to finish; particle of completed action
在,zài,"be at, in, on; consist in, rest",1,"zài - be at, in, on; consist in, rest"
人,rén,man; people; mankind; someone else,1,rén - man; people; mankind; someone else
有,yǒu,"have, own, possess; exist",1,"yǒu - have, own, possess; exist"
我,wǒ,"our, us, i, me, my, we",1,"wǒ - our, us, i, me, my, we"
他,tā,"other, another; he, she, it",1,"tā - other, another; he, she, it"
这,zhè,"this, the, here",1,"zhè - this, the, here"
个,gè,"numerary adjunct, piece; single",1,"gè - numerary adjunct, piece; single"
们,men,adjunct pronoun indicate plural,1,men - adjunct pronoun indicate plural
中,zhōng,"central; center, middle; in the midst of; hit (target); attain",1,"zhōng - central; center, middle; in the midst of; hit (target); attain"
来,lái,"come, coming; return, returning",1,"lái - come, coming; return, returning"
上,shàng,"top; superior, highest; go up, send up",1,"shàng - top; superior, highest; go up, send up"
大,dà,"big, great, vast, large, high",1,"dà - big, great, vast, large, high"
和,hé,"harmony, peace; peaceful, calm",1,"hé - harmony, peace; peaceful, calm"
国,guó,"nation, country, nation-state",1,"guó - nation, country, nation-state"
说,shuō,"speak, say, talk; scold, upbraid",1,"shuō - speak, say, talk; scold, upbraid"
时,shí,"time, season; era, age, period",1,"shí - time, season; era, age, period"
出,chū,"go out, send out; stand; produce",1,"chū - go out, send out; stand; produce"
会,huì,"assemble, meet together; meeting",1,"huì - assemble, meet together; meeting"
你,nǐ,"you, second person pronoun",1,"nǐ - you, second person pronoun"
对,duì,"correct, right; facing, opposed",1,"duì - correct, right; facing, opposed"
生,shēng,"life, living, lifetime; birth",1,"shēng - life, living, lifetime; birth"
能,néng,"to be able; can, permitted to; ability",1,"néng - to be able; can, permitted to; ability"
子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",1,"zi - offspring, child; fruit, seed of; 1st terrestrial branch"
那,nà,"that, that one, those",1,"nà - that, that one, those"
下,xià,"under, underneath, below; down; inferior; bring down",1,"xià - under, underneath, below; down; inferior; bring down"
年,nián,,1,
后,hòu,"queen, empress, sovereign; (simp. for 後) behind, rear, after",1,"hòu - queen, empress, sovereign; (simp. for 後) behind, rear, after"
作,zuò,"make; work; compose, write; act, perform",1,"zuò - make; work; compose, write; act, perform"
里,lǐ,unit of distance; village; lane,1,lǐ - unit of distance; village; lane
家,jiā,"house, home, residence; family",1,"jiā - house, home, residence; family"
多,duō,"much, many; more than, over",1,"duō - much, many; more than, over"
么,me,interrogative particle; repetition of a tune small; tender,1,me - interrogative particle; repetition of a tune small; tender
去,qù,"go away, leave, depart",1,"qù - go away, leave, depart"
学,xué,"learning, knowledge; school",1,"xué - learning, knowledge; school"
都,dōu,"metropolis, capital; all, the whole; elegant, refined",1,"dōu - metropolis, capital; all, the whole; elegant, refined"
同,tóng,"same, similar; together with",1,"tóng - same, similar; together with"
现,xiàn,"appear, manifest, become visible",1,"xiàn - appear, manifest, become visible"
没,méi,"not, have not, none; drown, sink",1,"méi - not, have not, none; drown, sink"
面,miàn,"face; surface; plane; side, dimension",1,"miàn - face; surface; plane; side, dimension"
起,qǐ,"rise, stand up; go up; begin",1,"qǐ - rise, stand up; go up; begin"
看,kàn,"look, see; examine, scrutinize",1,"kàn - look, see; examine, scrutinize"
天,tiān,"sky, heaven; god, celestial",1,"tiān - sky, heaven; god, celestial"
分,fēn,divide; small unit of time etc.,1,fēn - divide; small unit of time etc.
好,hǎo,"good, excellent, fine; well",1,"hǎo - good, excellent, fine; well"
小,xiǎo,"small, tiny, insignificant",1,"xiǎo - small, tiny, insignificant"
些,xiē,"little, few; rather, somewhat",1,"xiē - little, few; rather, somewhat"
样,yàng,"shape, form, pattern, style",1,"yàng - shape, form, pattern, style"
她,tā,"she, her",1,"tā - she, her"
本,běn,"root, origin, source; basis",1,"běn - root, origin, source; basis"
前,qián,"in front, forward; preceding",1,"qián - in front, forward; preceding"
开,kāi,"open; initiate, begin, start",1,"kāi - open; initiate, begin, start"
想,xiǎng,"think, speculate, plan, consider",1,"xiǎng - think, speculate, plan, consider"
机,jī,desk; machine; moment,1,jī - desk; machine; moment
十,shí,"ten, tenth; complete; perfect",1,"shí - ten, tenth; complete; perfect"
工,gōng,"labor, work; worker, laborer",1,"gōng - labor, work; worker, laborer"
明,míng,"bright, light, brilliant; clear",1,"míng - bright, light, brilliant; clear"
三,sān,three,1,sān - three
关,guān,frontier pass; close; relation,1,guān - frontier pass; close; relation
点,diǎn,"dot, speck, spot; point, degree",1,"diǎn - dot, speck, spot; point, degree"
高,gāo,"high, tall; lofty, elevated",1,"gāo - high, tall; lofty, elevated"
很,hěn,"very, quite, much",1,"hěn - very, quite, much"
见,jiàn,"see, observe, behold; perceive",1,"jiàn - see, observe, behold; perceive"
什,shén,"file of ten soldiers; mixed, miscellaneous",1,"shén - file of ten soldiers; mixed, miscellaneous"
二,èr,two; twice,1,èr - two; twice
果,guǒ,fruit; result,1,guǒ - fruit; result
西,xī,"west(ern); westward, occident",1,"xī - west(ern); westward, occident"
月,yuè,moon; month; KangXi radical 74,1,yuè - moon; month; KangXi radical 74
话,huà,"speech, talk, language; dialect",1,"huà - speech, talk, language; dialect"
回,huí,"return, turn around; a time",1,"huí - return, turn around; a time"
老,lǎo,"old, aged; experienced",1,"lǎo - old, aged; experienced"
先,xiān,"first, former, previous",1,"xiān - first, former, previous"
儿,ér,"son, child; KangXi radical 10",1,"ér - son, child; KangXi radical 10"
东,dōng,"east, eastern, eastward",1,"dōng - east, eastern, eastward"
水,shuǐ,"water, liquid, lotion, juice",1,"shuǐ - water, liquid, lotion, juice"
名,míng,"name, rank, title, position",1,"míng - name, rank, title, position"
几,jǐ,small table,1,jǐ - small table
认,rèn,"recognize, know, understand",1,"rèn - recognize, know, understand"
系,xì,"system; line, link, connection",1,"xì - system; line, link, connection"
气,qì,"steam, vapor; KangXi radical 84",1,"qì - steam, vapor; KangXi radical 84"
打,dǎ,"strike, hit, beat; fight; attack",1,"dǎ - strike, hit, beat; fight; attack"
女,nǚ,"woman, girl; feminine; rad. 38",1,"nǚ - woman, girl; feminine; rad. 38"
四,sì,four,1,sì - four
电,diàn,electricity; electric; lightning,1,diàn - electricity; electric; lightning
少,shǎo,"few, less, inadequate",1,"shǎo - few, less, inadequate"
太,tài,"very, too, much; big; extreme",1,"tài - very, too, much; big; extreme"
再,zài,"again, twice, re-",1,"zài - again, twice, re-"
做,zuò,"work, make; act",1,"zuò - work, make; act"
期,qī,period of time; date; time limit,1,qī - period of time; date; time limit
五,wǔ,five; surname,1,wǔ - five; surname
书,shū,"book, letter, document; writings",1,"shū - book, letter, document; writings"
听,tīng,"hear; understand; obey, comply",1,"tīng - hear; understand; obey, comply"
住,zhù,"reside, live at, dwell, lodge; stop",1,"zhù - reside, live at, dwell, lodge; stop"
北,běi,north; northern; northward,1,běi - north; northern; northward
觉,jué,to wake up from sleep; conscious,1,jué - to wake up from sleep; conscious
师,shī,"teacher, master, specialist",1,"shī - teacher, master, specialist"
今,jīn,"now, today, modern era",1,"jīn - now, today, modern era"
院,yuàn,"courtyard, yard, court; school",1,"yuàn - courtyard, yard, court; school"
识,shí,"recognize, understand, know",1,"shí - recognize, understand, know"
候,hòu,wait; expect; visit; greet,1,hòu - wait; expect; visit; greet
飞,fēi,fly; go quickly; dart; high,1,fēi - fly; go quickly; dart; high
车,chē,"cart, vehicle; carry in cart",1,"chē - cart, vehicle; carry in cart"
服,fú,"clothes; wear, dress",1,"fú - clothes; wear, dress"
怎,zěn,what? why? how?,1,zěn - what? why? how?
呢,ne,interrogative or emphatic final; (Cant.) this,1,ne - interrogative or emphatic final; (Cant.) this
叫,jiào,"cry, shout; hail, greet, call",1,"jiào - cry, shout; hail, greet, call"
影,yǐng,"shadow; image, reflection; photograph",1,"yǐng - shadow; image, reflection; photograph"
字,zì,"letter, character, word",1,"zì - letter, character, word"
爱,ài,"love, be fond of, like",1,"ài - love, be fond of, like"
商,shāng,"commerce, business, trade",1,"shāng - commerce, business, trade"
请,qǐng,"ask, request; invite; please",1,"qǐng - ask, request; invite; please"
视,shì,"look at, inspect, observe, see",1,"shì - look at, inspect, observe, see"
九,jiǔ,nine,1,jiǔ - nine
写,xiě,"write; draw, sketch; compose",1,"xiě - write; draw, sketch; compose"
八,bā,"eight; all around, all sides",1,"bā - eight; all around, all sides"
吗,ma,final interrogative particle,1,ma - final interrogative particle
吃,chī,"eat; drink; suffer, endure, bear",1,"chī - eat; drink; suffer, endure, bear"
六,liù,number six,1,liù - number six
医,yī,"cure, heal; doctor, medical",1,"yī - cure, heal; doctor, medical"
号,hào,"mark, sign; symbol; number",1,"hào - mark, sign; symbol; number"
语,yǔ,"language, words; saying, expression",1,"yǔ - language, words; saying, expression"
七,qī,seven,1,qī - seven
兴,xìng,"thrive, prosper, flourish",1,"xìng - thrive, prosper, flourish"
星,xīng,"a star, planet; any point of light",1,"xīng - a star, planet; any point of light"
京,jīng,capital city,1,jīng - capital city
米,mǐ,hulled or husked uncooked rice,1,mǐ - hulled or husked uncooked rice
客,kè,"guest, traveller; customer",1,"kè - guest, traveller; customer"
友,yǒu,"friend, companion; fraternity",1,"yǒu - friend, companion; fraternity"
钱,qián,"money, currency, coins",1,"qián - money, currency, coins"
热,rè,hot; heat; fever; restless; zeal,1,rè - hot; heat; fever; restless; zeal
坐,zuò,"sit; seat; ride, travel by",1,"zuò - sit; seat; ride, travel by"
校,xiào,school; military field officer,1,xiào - school; military field officer
脑,nǎo,brain,1,nǎo - brain
谁,shuí,who? whom? whose? anyone?,1,shuí - who? whom? whose? anyone?
哪,nǎ,which? where? how?,1,nǎ - which? where? how?
喜,xǐ,"like, love, enjoy; joyful thing",1,"xǐ - like, love, enjoy; joyful thing"
习,xí,practice; flapping wings,1,xí - practice; flapping wings
欢,huān,"happy, pleased, glad; joy; enjoy",1,"huān - happy, pleased, glad; joy; enjoy"
冷,lěng,"cold, cool; lonely",1,"lěng - cold, cool; lonely"
汉,hàn,Chinese people; Chinese language,1,hàn - Chinese people; Chinese language
衣,yī,"clothes, clothing; cover, skin",1,"yī - clothes, clothing; cover, skin"
妈,mā,"mother, mama",1,"mā - mother, mama"
读,dú,"read, study; pronounce",1,"dú - read, study; pronounce"
买,mǎi,"buy, purchase; bribe, persuade",1,"mǎi - buy, purchase; bribe, persuade"
岁,suì,year; age; harvest,1,suì - year; age; harvest
块,kuài,"piece, lump; dollar",1,"kuài - piece, lump; dollar"
姐,jiě,"elder sister, young lady",1,"jiě - elder sister, young lady"
亮,liàng,"bright, brilliant, radiant, light",1,"liàng - bright, brilliant, radiant, light"
朋,péng,"friend, pal, acquaintance",1,"péng - friend, pal, acquaintance"
谢,xiè,thank; decline,1,xiè - thank; decline
钟,zhōng,clock; bell,1,zhōng - clock; bell
雨,yǔ,rain; rainy; KangXi radical 173,1,yǔ - rain; rainy; KangXi radical 173
饭,fàn,"cooked rice; food, meal",1,"fàn - cooked rice; food, meal"
睡,shuì,"sleep, doze",1,"shuì - sleep, doze"
喝,hē,"drink; shout, call out",1,"hē - drink; shout, call out"
午,wǔ,noon; 7th terrestrial branch,1,wǔ - noon; 7th terrestrial branch
店,diàn,"shop, store; inn, hotel",1,"diàn - shop, store; inn, hotel"
爸,bà,"father, papa",1,"bà - father, papa"
桌,zhuō,"table, desk, stand",1,"zhuō - table, desk, stand"
菜,cài,"vegetables; dish, order; food",1,"cài - vegetables; dish, order; food"
茶,chá,tea,1,chá - tea
狗,gǒu,"dog, canis familiaris",1,"gǒu - dog, canis familiaris"
杯,bēi,"cup, glass",1,"bēi - cup, glass"
租,zū,"rent, lease; rental; tax",1,"zū - rent, lease; rental; tax"
昨,zuó,"yesterday; in former times, past",1,"zuó - yesterday; in former times, past"
漂,piào,"float, drift; tossed about",1,"piào - float, drift; tossed about"
椅,yǐ,"chair, seat",1,"yǐ - chair, seat"
猫,māo,cat,1,māo - cat
喂,wèi,interjection to call attention,1,wèi - interjection to call attention
苹,píng,artemisia; duckweed; apple,1,píng - artemisia; duckweed; apple
为,wèi,"do, handle, govern, act; be",2,"wèi - do, handle, govern, act; be"
到,dào,"go to, arrive, been to",2,"dào - go to, arrive, been to"
以,yǐ,"by means of; thereby, therefore; consider as; in order to",2,"yǐ - by means of; thereby, therefore; consider as; in order to"
要,yào,"necessary, essential; necessity",2,"yào - necessary, essential; necessity"
就,jiù,"just, simply; to come, go to; to approach, near",2,"jiù - just, simply; to come, go to; to approach, near"
可,kě,"may, can, -able; possibly",2,"kě - may, can, -able; possibly"
也,yě,also; classical final particle of strong affirmation or identity,2,yě - also; classical final particle of strong affirmation or identity
得,dé,"obtain, get, gain, acquire",2,"dé - obtain, get, gain, acquire"
着,zhe,"make move, take action",2,"zhe - make move, take action"
过,guò,"pass, pass through, go across",2,"guò - pass, pass through, go across"
道,dào,"path, road, street; method, way",2,"dào - path, road, street; method, way"
所,suǒ,"place, location; numerary adjunct",2,"suǒ - place, location; numerary adjunct"
然,rán,"yes, certainly; pledge, promise",2,"rán - yes, certainly; pledge, promise"
事,shì,"affair, matter, business; to serve; accident, incident",2,"shì - affair, matter, business; to serve; accident, incident"
经,jīng,classic works; pass through,2,jīng - classic works; pass through
动,dòng,"move, happen; movement, action",2,"dòng - move, happen; movement, action"
还,hái,"still, yet, also, besides",2,"hái - still, yet, also, besides"
进,jìn,"advance, make progress, enter",2,"jìn - advance, make progress, enter"
但,dàn,"only; but, however, yet, still",2,"dàn - only; but, however, yet, still"
因,yīn,"cause, reason; by; because (of)",2,"yīn - cause, reason; by; because (of)"
从,cóng,"from, by, since, whence, through",2,"cóng - from, by, since, whence, through"
日,rì,sun; day; daytime,2,rì - sun; day; daytime
意,yì,"thought, idea, opinion; think",2,"yì - thought, idea, opinion; think"
它,tā,it; other,2,tā - it; other
长,zhǎng,long; length; excel in; leader,2,zhǎng - long; length; excel in; leader
第,dì,"sequence, number; grade, degree",2,"dì - sequence, number; grade, degree"
公,gōng,"fair, equitable; public; duke",2,"gōng - fair, equitable; public; duke"
已,yǐ,already; finished; stop,2,yǐ - already; finished; stop
情,qíng,"feeling, sentiment, emotion",2,"qíng - feeling, sentiment, emotion"
知,zhī,"know, perceive, comprehend",2,"zhī - know, perceive, comprehend"
正,zhèng,"right, proper, correct",2,"zhèng - right, proper, correct"
外,wài,"out, outside, external; foreign",2,"wài - out, outside, external; foreign"
两,liǎng,"two, both, pair, couple; ounce",2,"liǎng - two, both, pair, couple; ounce"
间,jiān,"midpoint, space; place, locality",2,"jiān - midpoint, space; place, locality"
问,wèn,"ask about, inquire after",2,"wèn - ask about, inquire after"
最,zuì,"most, extremely, exceedingly",2,"zuì - most, extremely, exceedingly"
手,shǒu,hand,2,shǒu - hand
体,tǐ,"body; group, class, body, unit; inferior",2,"tǐ - body; group, class, body, unit; inferior"
等,děng,,2,
新,xīn,"new, recent, fresh, modern",2,"xīn - new, recent, fresh, modern"
身,shēn,"body; trunk, hull; rad. no. 158",2,"shēn - body; trunk, hull; rad. no. 158"
表,biǎo,"show, express, manifest, display",2,"biǎo - show, express, manifest, display"
给,gěi,"give; by, for",2,"gěi - give; by, for"
次,cì,"order, sequence; next",2,"cì - order, sequence; next"
门,mén,"gate, door, entrance, opening",2,"mén - gate, door, entrance, opening"
常,cháng,"common, normal, frequent, regular",2,"cháng - common, normal, frequent, regular"
教,jiào,"teach, class",2,"jiào - teach, class"
比,bǐ,"to compare, liken; comparison; than",2,"bǐ - to compare, liken; comparison; than"
员,yuán,"member; personnel, staff member",2,"yuán - member; personnel, staff member"
真,zhēn,"real, actual, true, genuine",2,"zhēn - real, actual, true, genuine"
走,zǒu,"walk, go on foot; run; leave",2,"zǒu - walk, go on foot; run; leave"
条,tiáo,"clause, condition; string, stripe",2,"tiáo - clause, condition; string, stripe"
题,tí,"forehead; title, headline; theme",2,"tí - forehead; title, headline; theme"
别,bié,"separate, other; do not",2,"bié - separate, other; do not"
报,bào,"report, tell, announce",2,"bào - report, tell, announce"
务,wù,"affairs, business; must, should",2,"wù - affairs, business; must, should"
场,chǎng,"open space, field, market",2,"chǎng - open space, field, market"
件,jiàn,numerary adjunct for article; matter,2,jiàn - numerary adjunct for article; matter
便,biàn,"convenience, ease; expedient",2,"biàn - convenience, ease; expedient"
司,sī,"take charge of, control, manage; officer",2,"sī - take charge of, control, manage; officer"
眼,yǎn,"eye; eyelet, hole, opening",2,"yǎn - eye; eyelet, hole, opening"
非,fēi,"not, negative, non-; oppose",2,"fēi - not, negative, non-; oppose"
白,bái,"white; pure, unblemished; bright",2,"bái - white; pure, unblemished; bright"
思,sī,"think, consider, ponder; final particle",2,"sī - think, consider, ponder; final particle"
完,wán,"complete, finish, settle; whole",2,"wán - complete, finish, settle; whole"
色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",2,"sè - color, tint, hue, shade; form, body; beauty, desire for beauty"
路,lù,"road, path, street; journey",2,"lù - road, path, street; journey"
告,gào,"tell, announce, inform; accuse",2,"gào - tell, announce, inform; accuse"
边,biān,"edge, margin, side, border",2,"biān - edge, margin, side, border"
望,wàng,"to look at, look forward; to hope, expect",2,"wàng - to look at, look forward; to hope, expect"
共,gòng,"together with, all, total; to share",2,"gòng - together with, all, total; to share"
让,ràng,"allow, permit, yield, concede",2,"ràng - allow, permit, yield, concede"
运,yùn,"run; simplified form of 運 luck, fortune; ship, transport",2,"yùn - run; simplified form of 運 luck, fortune; ship, transport"
笑,xiào,"smile, laugh, giggle; snicker",2,"xiào - smile, laugh, giggle; snicker"
步,bù,"step, pace; walk, stroll",2,"bù - step, pace; walk, stroll"
每,měi,"every, each",2,"měi - every, each"
快,kuài,"rapid, quick, speedy, fast; soon",2,"kuài - rapid, quick, speedy, fast; soon"
往,wǎng,"go, depart; past, formerly",2,"wǎng - go, depart; past, formerly"
近,jìn,"near, close; approach; intimate",2,"jìn - near, close; approach; intimate"
夫,fū,"man, male adult, husband; those",2,"fū - man, male adult, husband; those"
准,zhǔn,"approve, allow, permit; in accord",2,"zhǔn - approve, allow, permit; in accord"
始,shǐ,"begin, start; then, only then",2,"shǐ - begin, start; then, only then"
远,yuǎn,"distant, remote, far; profound",2,"yuǎn - distant, remote, far; profound"
备,bèi,"prepare, ready, perfect",2,"bèi - prepare, ready, perfect"
百,bǎi,"one hundred; numerous, many",2,"bǎi - one hundred; numerous, many"
离,lí,rare beast; strange; elegant,2,lí - rare beast; strange; elegant
病,bìng,"illness, sickness, disease",2,"bìng - illness, sickness, disease"
息,xī,"rest, put stop to, end, cease",2,"xī - rest, put stop to, end, cease"
火,huǒ,"fire, flame; burn; anger, rage",2,"huǒ - fire, flame; burn; anger, rage"
早,zǎo,early; soon; morning,2,zǎo - early; soon; morning
找,zhǎo,"search, seek, look for; find",2,"zhǎo - search, seek, look for; find"
吧,ba,emphatic final particle,2,ba - emphatic final particle
考,kǎo,"examine, test; investigate",2,"kǎo - examine, test; investigate"
红,hóng,"red, vermillion; blush, flush",2,"hóng - red, vermillion; blush, flush"
虽,suī,"although, even if",2,"suī - although, even if"
希,xī,"rare; hope, expect, strive for",2,"xī - rare; hope, expect, strive for"
房,fáng,"house, building; room",2,"fáng - house, building; room"
黑,hēi,"black; dark; evil, sinister",2,"hēi - black; dark; evil, sinister"
足,zú,"foot; attain, satisfy, enough",2,"zú - foot; attain, satisfy, enough"
孩,hái,"baby, child; children",2,"hái - baby, child; children"
站,zhàn,"stand up; a stand, station",2,"zhàn - stand up; a stand, station"
诉,sù,accuse; sue; inform; narrate,2,sù - accuse; sue; inform; narrate
千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",2,"qiān - thousand; many, numerous; very; (Cant.) a cheater, swindler"
男,nán,"male, man; son; baron; surname",2,"nán - male, man; son; baron; surname"
助,zhù,"help, aid, assist",2,"zhù - help, aid, assist"
乐,lè,"happy, glad; enjoyable; music",2,"lè - happy, glad; enjoyable; music"
球,qiú,"ball, sphere, globe; round",2,"qiú - ball, sphere, globe; round"
错,cuò,"error, blunder, mistake; wrong",2,"cuò - error, blunder, mistake; wrong"
晚,wǎn,"night, evening; late",2,"wǎn - night, evening; late"
试,shì,"test, try, experiment",2,"shì - test, try, experiment"
送,sòng,"see off, send off; dispatch, give",2,"sòng - see off, send off; dispatch, give"
药,yào,leaf of Dahurian angelica plant; medicine,2,yào - leaf of Dahurian angelica plant; medicine
游,yóu,"to swim; float, drift; wander, roam",2,"yóu - to swim; float, drift; wander, roam"
室,shì,"room, home, house, chamber",2,"shì - room, home, house, chamber"
您,nín,,2,
帮,bāng,"help, assist; defend; shoe upper",2,"bāng - help, assist; defend; shoe upper"
左,zuǒ,"left; east; unorthodox, improper",2,"zuǒ - left; east; unorthodox, improper"
右,yòu,right; west; right-wing,2,yòu - right; west; right-wing
穿,chuān,"penetrate, pierce, drill; wear",2,"chuān - penetrate, pierce, drill; wear"
哥,gē,elder brother,2,gē - elder brother
弟,dì,"young brother; junior; i, me",2,"dì - young brother; junior; i, me"
慢,màn,"slow(ly), leisurely, sluggish",2,"màn - slow(ly), leisurely, sluggish"
忙,máng,"busy, pressed for time; hustling",2,"máng - busy, pressed for time; hustling"
介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",2,"jiè - forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
鱼,yú,fish; surname; KangXi radical 195,2,yú - fish; surname; KangXi radical 195
跑,pǎo,"run, flee, leave in hurry",2,"pǎo - run, flee, leave in hurry"
贵,guì,"expensive, costly, valuable",2,"guì - expensive, costly, valuable"
