Hanzi,Pinyin,Definition,HSK level,Pinyin + Definition
班,bān,"class, group, grade; squad; job",2,"bān - class, group, grade; squad; job"
票,piào,slip of paper or bamboo; ticket,2,piào - slip of paper or bamboo; ticket
睛,jīng,eyeball; pupil of eye,2,jīng - eyeball; pupil of eye
旅,lǚ,"trip, journey; travel; traveler",2,"lǚ - trip, journey; travel; traveler"
笔,bǐ,writing brush; write; stroke,2,bǐ - writing brush; write; stroke
卖,mài,sell; betray; show off,2,mài - sell; betray; show off
旁,páng,"side; by side, close by, near",2,"páng - side; by side, close by, near"
阴,yīn,,2,
跳,tiào,"jump, leap, vault, bounce; dance",2,"tiào - jump, leap, vault, bounce; dance"
雪,xuě,"snow; wipe away shame, avenge",2,"xuě - snow; wipe away shame, avenge"
肉,ròu,flesh; meat; KangXi radical 130,2,ròu - flesh; meat; KangXi radical 130
馆,guǎn,public building,2,guǎn - public building
牛,niú,"cow, ox, bull; KangXi radical93",2,"niú - cow, ox, bull; KangXi radical93"
纸,zhǐ,paper,2,zhǐ - paper
歌,gē,"song, lyrics; sing, chant; praise",2,"gē - song, lyrics; sing, chant; praise"
床,chuáng,"bed, couch; framework, chassis",2,"chuáng - bed, couch; framework, chassis"
玩,wán,"play with, joke, enjoy",2,"wán - play with, joke, enjoy"
妻,qī,wife,2,qī - wife
休,xiū,"rest, stop; retire; do not!",2,"xiū - rest, stop; retire; do not!"
舞,wǔ,"dance, posture, prance; brandish",2,"wǔ - dance, posture, prance; brandish"
姓,xìng,,2,
妹,mèi,younger sister,2,mèi - younger sister
汽,qì,"steam, vapor, gas",2,"qì - steam, vapor, gas"
课,kè,lesson; course; classwork,2,kè - lesson; course; classwork
懂,dǒng,"understand, comprehend",2,"dǒng - understand, comprehend"
绍,shào,"continue, carry on; join",2,"shào - continue, carry on; join"
丈,zhàng,"unit of length equal 3.3 meters; gentleman, man, husband",2,"zhàng - unit of length equal 3.3 meters; gentleman, man, husband"
洗,xǐ,"wash, rinse; clean, purify",2,"xǐ - wash, rinse; clean, purify"
唱,chàng,"sing, chant, call; ditty, song",2,"chàng - sing, chant, call; ditty, song"
奶,nǎi,,2,
宜,yí,"suitable, right, fitting, proper",2,"yí - suitable, right, fitting, proper"
累,lèi,"tired; implicate, involve; bother",2,"lèi - tired; implicate, involve; bother"
羊,yáng,"sheep, goat; KangXi radical 123",2,"yáng - sheep, goat; KangXi radical 123"
零,líng,"zero; fragment, fraction",2,"líng - zero; fragment, fraction"
蛋,dàn,eggs; term of abuse,2,dàn - eggs; term of abuse
鸡,jī,chicken,2,jī - chicken
宾,bīn,"guest, visitor; surname; submit",2,"bīn - guest, visitor; surname; submit"
颜,yán,"face, facial appearance",2,"yán - face, facial appearance"
瓜,guā,"melon, gourd, cucumber; rad. 97",2,"guā - melon, gourd, cucumber; rad. 97"
晴,qíng,"clear weather, fine weather",2,"qíng - clear weather, fine weather"
啡,fēi,morphine; coffee,2,fēi - morphine; coffee
篮,lán,basket,2,lán - basket
咖,kā,coffee; a phonetic,2,kā - coffee; a phonetic
踢,tī,kick,2,tī - kick
泳,yǒng,dive; swim,2,yǒng - dive; swim
铅,qiān,lead,2,qiān - lead
地,de,"earth; soil, ground; region",3,"de - earth; soil, ground; region"
而,ér,and; and then; and yet; but,3,ér - and; and then; and yet; but
于,yú,"in, on, at; go to; surname",3,"yú - in, on, at; go to; surname"
自,zì,"self, private, personal; from",3,"zì - self, private, personal; from"
发,fā,"issue, dispatch, send out; hair",3,"fā - issue, dispatch, send out; hair"
用,yòng,"use, employ, apply, operate; use",3,"yòng - use, employ, apply, operate; use"
行,xíng,"go; walk; move, travel; circulate",3,"xíng - go; walk; move, travel; circulate"
种,zhǒng,"seed; race, breed; to plant",3,"zhǒng - seed; race, breed; to plant"
成,chéng,"completed, finished, fixed",3,"chéng - completed, finished, fixed"
方,fāng,"a square, rectangle; a region; local",3,"fāng - a square, rectangle; a region; local"
法,fǎ,"law, rule, regulation, statute; France, French",3,"fǎ - law, rule, regulation, statute; France, French"
如,rú,"if, supposing; as if; like, as",3,"rú - if, supposing; as if; like, as"
当,dāng,"bear, accept, undertake; just",3,"dāng - bear, accept, undertake; just"
定,dìng,"decide, settle, fix",3,"dìng - decide, settle, fix"
其,qí,"his, her, its, their; that",3,"qí - his, her, its, their; that"
主,zhǔ,"master, chief owner; host; lord",3,"zhǔ - master, chief owner; host; lord"
理,lǐ,"reason, logic; manage",3,"lǐ - reason, logic; manage"
心,xīn,"heart; mind, intelligence; soul",3,"xīn - heart; mind, intelligence; soul"
只,zhǐ,"only, just, simply",3,"zhǐ - only, just, simply"
实,shí,"real, true; honest, sincere",3,"shí - real, true; honest, sincere"
者,zhě,that which; he who; those who,3,zhě - that which; he who; those who
力,lì,"power, capability, influence",3,"lì - power, capability, influence"
把,bǎ,"hold, take; guard; regard as",3,"bǎ - hold, take; guard; regard as"
又,yòu,"and, also, again, in addition",3,"yòu - and, also, again, in addition"
业,yè,"profession, business; GB radical 111",3,"yè - profession, business; GB radical 111"
重,zhòng,"heavy, weighty; double",3,"zhòng - heavy, weighty; double"
物,wù,"thing, substance, creature",3,"wù - thing, substance, creature"
应,yīng,"should, ought to, must",3,"yīng - should, ought to, must"
向,xiàng,"toward, direction, trend",3,"xiàng - toward, direction, trend"
头,tóu,"head; top; chief, first; boss",3,"tóu - head; top; chief, first; boss"
文,wén,"literature, culture, writing",3,"wén - literature, culture, writing"
相,xiāng,"mutual, reciprocal, each other",3,"xiāng - mutual, reciprocal, each other"
被,bèi,,3,
或,huò,"or, either, else; perhaps, maybe",3,"huò - or, either, else; perhaps, maybe"
己,jǐ,"self, oneself; personal, private; 6th heavenly stem",3,"jǐ - self, oneself; personal, private; 6th heavenly stem"
加,jiā,"add to, increase, augment",3,"jiā - add to, increase, augment"
特,tè,"special, unique, distinguished",3,"tè - special, unique, distinguished"
信,xìn,"trust, believe; letter",3,"xìn - trust, believe; letter"
化,huà,"change, convert, reform; -ize",3,"huà - change, convert, reform; -ize"
世,shì,generation; world; era,3,shì - generation; world; era
位,wèi,"throne; position, post; rank, status; seat",3,"wèi - throne; position, post; rank, status; seat"
声,shēng,"sound, voice, noise; tone; music",3,"shēng - sound, voice, noise; tone; music"
提,tí,hold in hand; lift in hand,3,tí - hold in hand; lift in hand
解,jiě,"loosen, unfasten, untie; explain",3,"jiě - loosen, unfasten, untie; explain"
口,kǒu,"mouth; open end; entrance, gate",3,"kǒu - mouth; open end; entrance, gate"
平,píng,"flat, level, even; peaceful",3,"píng - flat, level, even; peaceful"
更,gèng,"more, still further, much more",3,"gèng - more, still further, much more"
变,biàn,"change, transform, alter; rebel",3,"biàn - change, transform, alter; rebel"
总,zǒng,"collect; overall, altogether",3,"zǒng - collect; overall, altogether"
数,shù,"number; several, count; fate",3,"shù - number; several, count; fate"
安,ān,"peaceful, tranquil, quiet",3,"ān - peaceful, tranquil, quiet"
才,cái,"talent, ability; just, only",3,"cái - talent, ability; just, only"
结,jié,"knot, tie; join, connect",3,"jié - knot, tie; join, connect"
目,mù,"eye; look, see; division, topic",3,"mù - eye; look, see; division, topic"
感,gǎn,"feel, perceive, emotion",3,"gǎn - feel, perceive, emotion"
接,jiē,receive; continue; catch; connect,3,jiē - receive; continue; catch; connect
必,bì,"surely, most certainly; must",3,"bì - surely, most certainly; must"
市,shì,"market, fair; city, town; trade",3,"shì - market, fair; city, town; trade"
直,zhí,"straight, erect, vertical",3,"zhí - straight, erect, vertical"
山,shān,"mountain, hill, peak",3,"shān - mountain, hill, peak"
空,kōng,"empty, hollow, bare, deserted",3,"kōng - empty, hollow, bare, deserted"
决,jué,"decide, determine, judge",3,"jué - decide, determine, judge"
马,mǎ,horse; surname; KangXi radical 187,3,mǎ - horse; surname; KangXi radical 187
界,jiè,"boundary, limit; domain; society; the world",3,"jiè - boundary, limit; domain; society; the world"
放,fàng,"put, release, free, liberate",3,"fàng - put, release, free, liberate"
像,xiàng,"a picture, image, figure; to resemble",3,"xiàng - a picture, image, figure; to resemble"
且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",3,"qiě - moreover, also (post-subject); about to, will soon (pre-verb)"
难,nán,"difficult, arduous, hard; unable",3,"nán - difficult, arduous, hard; unable"
记,jì,"record; keep in mind, remember",3,"jì - record; keep in mind, remember"
南,nán,south; southern part; southward,3,nán - south; southern part; southward
求,qiú,"seek; demand, request; beseech",3,"qiú - seek; demand, request; beseech"
据,jù,"to occupy, take possession of; a base, position",3,"jù - to occupy, take possession of; a base, position"
张,zhāng,"stretch, extend, expand; sheet",3,"zhāng - stretch, extend, expand; sheet"
该,gāi,"should, ought to, need to",3,"gāi - should, ought to, need to"
万,wàn,ten thousand; innumerable,3,wàn - ten thousand; innumerable
清,qīng,"clear, pure, clean; peaceful",3,"qīng - clear, pure, clean; peaceful"
带,dài,"belt, girdle, band, strap, zone",3,"dài - belt, girdle, band, strap, zone"
风,fēng,"wind; air; manners, atmosphere",3,"fēng - wind; air; manners, atmosphere"
根,gēn,"root, base(d on); foundation",3,"gēn - root, base(d on); foundation"
干,gàn,"oppose, offend; invade; dried",3,"gàn - oppose, offend; invade; dried"
极,jí,"extreme, utmost, furthest, final",3,"jí - extreme, utmost, furthest, final"
办,bàn,"manage, do, handle; deal with",3,"bàn - manage, do, handle; deal with"
议,yì,"consult, talk over, discuss",3,"yì - consult, talk over, discuss"
元,yuán,first; dollar; origin; head,3,yuán - first; dollar; origin; head
单,dān,"single, individual, only; lone",3,"dān - single, individual, only; lone"
调,diào,"transfer, move, change; tune",3,"diào - transfer, move, change; tune"
算,suàn,"count, calculate, figure; plan",3,"suàn - count, calculate, figure; plan"
需,xū,"need, require, must",3,"xū - need, require, must"
花,huā,flower; blossoms,3,huā - flower; blossoms
城,chéng,"castle; city, town; municipality",3,"chéng - castle; city, town; municipality"
级,jí,"level, rank, class; grade",3,"jí - level, rank, class; grade"
复,fù,return; repeat; repeatedly,3,fù - return; repeat; repeatedly
满,mǎn,"fill; full, satisfied",3,"mǎn - fill; full, satisfied"
越,yuè,"exceed, go beyond; the more ...",3,"yuè - exceed, go beyond; the more ..."
容,róng,"looks, appearance; figure, form",3,"róng - looks, appearance; figure, form"
照,zhào,"shine, illumine, reflect",3,"zhào - shine, illumine, reflect"
须,xū,"must, have to, necessary",3,"xū - must, have to, necessary"
包,bāo,"wrap, pack, bundle; package",3,"bāo - wrap, pack, bundle; package"
片,piàn,"slice, splinter, strip; rad. 91",3,"piàn - slice, splinter, strip; rad. 91"
史,shǐ,"history, chronicle, annals",3,"shǐ - history, chronicle, annals"
乎,hū,interrogative or exclamatory final particle,3,hū - interrogative or exclamatory final particle
查,chá,"investigate, examine, seek into",3,"chá - investigate, examine, seek into"
轻,qīng,"light; easy, simple; gentle",3,"qīng - light; easy, simple; gentle"
易,yì,change; easy,3,yì - change; easy
除,chú,"eliminate, remove, except",3,"chú - eliminate, remove, except"
阿,ā,,3,
李,lǐ,plum; judge; surname,3,lǐ - plum; judge; surname
图,tú,"diagram; chart, map, picture",3,"tú - diagram; chart, map, picture"
历,lì,history; calendar,3,lì - history; calendar
突,tū,"suddenly, abruptly, unexpectedly",3,"tū - suddenly, abruptly, unexpectedly"
周,zhōu,Zhou dynasty; circumference,3,zhōu - Zhou dynasty; circumference
较,jiào,"compare; comparatively, more",3,"jiào - compare; comparatively, more"
注,zhù,"concentrate, focus, direct",3,"zhù - concentrate, focus, direct"
选,xuǎn,"choose, select; elect; election",3,"xuǎn - choose, select; elect; election"
响,xiǎng,"make sound, make noise; sound",3,"xiǎng - make sound, make noise; sound"
参,cān,"take part in, intervene; ginseng",3,"cān - take part in, intervene; ginseng"
半,bàn,half,3,bàn - half
节,jié,"knot, node, joint; section",3,"jié - knot, node, joint; section"
护,hù,"protect, guard, defend, shelter",3,"hù - protect, guard, defend, shelter"
音,yīn,"sound, tone, pitch, pronunciation",3,"yīn - sound, tone, pitch, pronunciation"
跟,gēn,"heel; to follow, accompany; with",3,"gēn - heel; to follow, accompany; with"
留,liú,"stop, halt; stay, detain, keep",3,"liú - stop, halt; stay, detain, keep"
讲,jiǎng,explain; discuss; talk,3,jiǎng - explain; discuss; talk
料,liào,"consider, conjecture; materials, ingredients",3,"liào - consider, conjecture; materials, ingredients"
终,zhōng,"end; finally, in the end",3,"zhōng - end; finally, in the end"
答,dá,"answer, reply; return; assent to",3,"dá - answer, reply; return; assent to"
黄,huáng,yellow; surname,3,huáng - yellow; surname
奇,qí,"strange, unusual, uncanny, occult",3,"qí - strange, unusual, uncanny, occult"
段,duàn,"section, piece, division",3,"duàn - section, piece, division"
故,gù,"ancient, old; reason, because",3,"gù - ancient, old; reason, because"
河,hé,river; stream; yellow river,3,hé - river; stream; yellow river
害,hài,"injure, harm; destroy, kill",3,"hài - injure, harm; destroy, kill"
双,shuāng,"set of two, pair, couple; both",3,"shuāng - set of two, pair, couple; both"
境,jìng,"boundary, frontier; area, region",3,"jìng - boundary, frontier; area, region"
愿,yuàn,"sincere, honest, virtuous",3,"yuàn - sincere, honest, virtuous"
网,wǎng,net; network; KangXi radical 122,3,wǎng - net; network; KangXi radical 122
育,yù,"produce, give birth to; educate",3,"yù - produce, give birth to; educate"
船,chuán,"ship, boat, vessel",3,"chuán - ship, boat, vessel"
脸,liǎn,face; cheek; reputation,3,liǎn - face; cheek; reputation
刻,kè,"carve, engrave; quarter hour",3,"kè - carve, engrave; quarter hour"
刚,gāng,"hard, tough, rigid, strong",3,"gāng - hard, tough, rigid, strong"
般,bān,"sort, manner, kind, category",3,"bān - sort, manner, kind, category"
怕,pà,"to fear, be afraid of; apprehensive",3,"pà - to fear, be afraid of; apprehensive"
假,jiǎ,"falsehood, deception; vacation",3,"jiǎ - falsehood, deception; vacation"
久,jiǔ,"long time (ago); time passage, grow late",3,"jiǔ - long time (ago); time passage, grow late"
拿,ná,"take, hold, grasp; bring; with",3,"ná - take, hold, grasp; bring; with"
阳,yáng,,3,
急,jí,"quick, quickly; urgent, pressing",3,"jí - quick, quickly; urgent, pressing"
居,jū,"live, dwell, reside, sit",3,"jū - live, dwell, reside, sit"
环,huán,jade ring or bracelet; ring,3,huán - jade ring or bracelet; ring
树,shù,"tree; plant; set up, establish",3,"shù - tree; plant; set up, establish"
层,céng,"storey, layer, floor, stratum",3,"céng - storey, layer, floor, stratum"
句,jù,sentence,3,jù - sentence
简,jiǎn,"simple, terse, succinct, a letter",3,"jiǎn - simple, terse, succinct, a letter"
卡,kǎ,"card, punch card; calorie",3,"kǎ - card, punch card; calorie"
担,dān,"carry, bear, undertake",3,"dān - carry, bear, undertake"
静,jìng,"quiet, still, motionless; gentle",3,"jìng - quiet, still, motionless; gentle"
检,jiǎn,check; examine,3,jiǎn - check; examine
差,chà,"to differ; different, wrong; nearly, almost; an officer",3,"chà - to differ; different, wrong; nearly, almost; an officer"
角,jiǎo,"horn; angle, corner; point",3,"jiǎo - horn; angle, corner; point"
皮,pí,"skin, hide, fur, feather; outer",3,"pí - skin, hide, fur, feather; outer"
啊,a,exclamatory particle,3,a - exclamatory particle
超,chāo,"jump over, leap over; surpass",3,"chāo - jump over, leap over; surpass"
银,yín,"silver; cash, money, wealth",3,"yín - silver; cash, money, wealth"
怪,guài,"strange, unusual, peculiar",3,"guài - strange, unusual, peculiar"
香,xiāng,"fragrant, sweet smelling, incense",3,"xiāng - fragrant, sweet smelling, incense"
铁,tiě,"iron; strong, solid, firm",3,"tiě - iron; strong, solid, firm"
草,cǎo,"grass, straw, thatch, herbs",3,"cǎo - grass, straw, thatch, herbs"
脚,jiǎo,"leg, foot; base, leg, foundation",3,"jiǎo - leg, foot; base, leg, foundation"
酒,jiǔ,"wine, spirits, liquor, alcoholic beverage",3,"jiǔ - wine, spirits, liquor, alcoholic beverage"
顾,gù,look back; look at; look after,3,gù - look back; look at; look after
换,huàn,change,3,huàn - change
闻,wén,hear; smell; make known; news,3,wén - hear; smell; make known; news
坏,huài,"rotten, spoilt, bad, broken down",3,"huài - rotten, spoilt, bad, broken down"
楚,chǔ,name of feudal state; clear,3,chǔ - name of feudal state; clear
楼,lóu,building of two or more stories,3,lóu - building of two or more stories
画,huà,"a painting, picture, drawing; to draw",3,"huà - a painting, picture, drawing; to draw"
耳,ěr,"ear; merely, only; handle",3,"ěr - ear; merely, only; handle"
短,duǎn,"short; brief; deficient, lacking",3,"duǎn - short; brief; deficient, lacking"
遇,yù,"meet, come across, encounter",3,"yù - meet, come across, encounter"
康,kāng,"peaceful, quiet; happy, healthy",3,"kāng - peaceful, quiet; happy, healthy"
旧,jiù,"old, ancient; former, past",3,"jiù - old, ancient; former, past"
春,chūn,spring; wanton,3,chūn - spring; wanton
附,fù,"adhere to, append; rely on near to",3,"fù - adhere to, append; rely on near to"
礼,lǐ,social custom; manners; courtesy,3,lǐ - social custom; manners; courtesy
板,bǎn,"plank, board; iron or tin plate",3,"bǎn - plank, board; iron or tin plate"
婚,hūn,"get married; marriage, wedding",3,"hūn - get married; marriage, wedding"
鲜,xiān,fresh; delicious; attractive,3,xiān - fresh; delicious; attractive
词,cí,"words; phrase, expression",3,"cí - words; phrase, expression"
择,zé,"select, choose, pick out",3,"zé - select, choose, pick out"
健,jiàn,"strong, robust, healthy; strength",3,"jiàn - strong, robust, healthy; strength"
借,jiè,borrow; lend; make pretext of,3,jiè - borrow; lend; make pretext of
园,yuán,"garden; park, orchard",3,"yuán - garden; park, orchard"
牙,yá,"tooth, molars, teeth; serrated",3,"yá - tooth, molars, teeth; serrated"
束,shù,"bind, control, restrain; bale",3,"shù - bind, control, restrain; bale"
练,liàn,"to practice, drill, exercise, train",3,"liàn - to practice, drill, exercise, train"
爷,yé,"father, grandfather",3,"yé - father, grandfather"
嘴,zuǐ,"mouth, lips",3,"zuǐ - mouth, lips"
戏,xì,"theatrical play, show",3,"xì - theatrical play, show"
典,diǎn,"law, canon; documentation; classic, scripture",3,"diǎn - law, canon; documentation; classic, scripture"
盘,pán,"tray, plate, dish; examine",3,"pán - tray, plate, dish; examine"
忘,wàng,"forget; neglect; miss, omit",3,"wàng - forget; neglect; miss, omit"
赛,sài,"compete, contend; contest, race",3,"sài - compete, contend; contest, race"
趣,qù,,3,
迎,yíng,"receive, welcome, greet",3,"yíng - receive, welcome, greet"
冰,bīng,ice; ice-cold,3,bīng - ice; ice-cold
努,nǔ,"to exert, strive, make an effort; to pout",3,"nǔ - to exert, strive, make an effort; to pout"
绿,lǜ,green; chlorine,3,lǜ - green; chlorine
街,jiē,"street, road, thoroughfare",3,"jiē - street, road, thoroughfare"
灯,dēng,"lantern, lamp",3,"dēng - lantern, lamp"
夏,xià,"summer; great, grand, big",3,"xià - summer; great, grand, big"
秋,qiū,"autumn, fall; year",3,"qiū - autumn, fall; year"
末,mò,"final, last, end; insignificant",3,"mò - final, last, end; insignificant"
蓝,lán,blue; indigo plant; surname,3,lán - blue; indigo plant; surname
烧,shāo,burn; bake; heat; roast,3,shāo - burn; bake; heat; roast
哭,kū,"weep, cry, wail",3,"kū - weep, cry, wail"
冒,mào,"risk, brave, dare",3,"mào - risk, brave, dare"
惯,guàn,"habit, custom; habitually, usual",3,"guàn - habit, custom; habitually, usual"
鸟,niǎo,bird; KangXi radical 196,3,niǎo - bird; KangXi radical 196
季,jì,quarter of year; season; surname,3,jì - quarter of year; season; surname
鼻,bí,nose; first; KangXi radical 209,3,bí - nose; first; KangXi radical 209
腿,tuǐ,"legs, thighs",3,"tuǐ - legs, thighs"
迟,chí,"late, tardy; slow; delay",3,"chí - late, tardy; slow; delay"
辆,liàng,numerary adjunct for vehicles,3,liàng - numerary adjunct for vehicles
净,jìng,"clean, pure; cleanse",3,"jìng - clean, pure; cleanse"
冬,dōng,"winter, 11th lunar month",3,"dōng - winter, 11th lunar month"
骑,qí,ride horseback; mount; cavalry,3,qí - ride horseback; mount; cavalry
叔,shū,,3,
爬,pá,"crawl, creep; climb; scramble",3,"pá - crawl, creep; climb; scramble"
扫,sǎo,"sweep, clear away; exterminate",3,"sǎo - sweep, clear away; exterminate"
箱,xiāng,"case, box, chest, trunk",3,"xiāng - case, box, chest, trunk"
舒,shū,"open up, unfold, stretch out; comfortable, easy",3,"shū - open up, unfold, stretch out; comfortable, easy"
绩,jī,spin; achievements,3,jī - spin; achievements
饮,yǐn,drink; swallow; kind of drink,3,yǐn - drink; swallow; kind of drink
朵,duǒ,cluster of flowers; earlobe,3,duǒ - cluster of flowers; earlobe
鞋,xié,"shoes, footwear in general",3,"xié - shoes, footwear in general"
邮,yóu,"postal, mail; post office",3,"yóu - postal, mail; post office"
邻,lín,neighbor; neighborhood,3,lín - neighbor; neighborhood
聪,cōng,"intelligent, clever, bright",3,"cōng - intelligent, clever, bright"
梯,tī,"ladder, steps, stairs; lean",3,"tī - ladder, steps, stairs; lean"
瓶,píng,"jug, pitcher, vase, jar, bottle",3,"píng - jug, pitcher, vase, jar, bottle"
疼,téng,"aches, pains; be fond of; love",3,"téng - aches, pains; be fond of; love"
熊,xióng,a bear; brilliant; bright; surname,3,xióng - a bear; brilliant; bright; surname
帽,mào,"hat, cap; cap-like tops",3,"mào - hat, cap; cap-like tops"
炼,liàn,"smelt, refine; distill, condense",3,"liàn - smelt, refine; distill, condense"
搬,bān,"transfer, move, remove, shift",3,"bān - transfer, move, remove, shift"
刷,shuā,"brush; clean with brush, scrub",3,"shuā - brush; clean with brush, scrub"
瘦,shòu,"thin, emaciated, lean; meager",3,"shòu - thin, emaciated, lean; meager"
斤,jīn,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",3,"jīn - a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69"
胖,pàng,"fat, obese; fatty",3,"pàng - fat, obese; fatty"
饿,è,hungry; greedy for; hunger,3,è - hungry; greedy for; hunger
聊,liáo,"somewhat, slightly, at least",3,"liáo - somewhat, slightly, at least"
碗,wǎn,"bowl, small dish",3,"wǎn - bowl, small dish"
渴,kě,"thirsty, parched; yearn, pine",3,"kě - thirsty, parched; yearn, pine"
饱,bǎo,,3,
甜,tián,"sweet, sweetness",3,"tián - sweet, sweetness"
矮,ǎi,"short, dwarf; low",3,"ǎi - short, dwarf; low"
裤,kù,"trousers, pants",3,"kù - trousers, pants"
衫,shān,shirt; robe; gown; jacket,3,shān - shirt; robe; gown; jacket
伞,sǎn,"umbrella, parasol, parachute",3,"sǎn - umbrella, parasol, parachute"
姨,yí,,3,
刮,guā,"shave, pare off, scrape",3,"guā - shave, pare off, scrape"
糕,gāo,"cakes, pastry",3,"gāo - cakes, pastry"
裙,qún,"skirt, apron, petticoat",3,"qún - skirt, apron, petticoat"
衬,chèn,underwear; inner garments,3,chèn - underwear; inner garments
锻,duàn,"forge metal; temper, refine",3,"duàn - forge metal; temper, refine"
澡,zǎo,"wash, bathe",3,"zǎo - wash, bathe"
啤,pí,beer,3,pí - beer
蕉,jiāo,banana; plantain,3,jiāo - banana; plantain
筷,kuài,chopsticks,3,kuài - chopsticks
