Hanzi,English,Pinyin,Pinyin + English,Hanzi + Pinyin
结束,end/finish,jiéshù,jiéshù - end/finish,结束 - jiéshù
论文,thesis,lùnwén,lùnwén - thesis,论文 - lùnwén
口音,accent,kǒuyīn,kǒuyīn - accent,口音 - kǒuyīn
方言,dialect,fāngyán,fāngyán - dialect,方言 - fāngyán
速度,speed,sùdù,sùdù - speed,速度 - sùdù
科学,science,kēxué,kēxué - science,科学 - kēxué
政治科學,political science,zhèngzhì kēxue,zhèngzhì kēxue - political science,政治科學 - zhèngzhì kēxue
政治,politics,zhèngzhì,zhèngzhì - politics,政治 - zhèngzhì
哲学,philosophy,zhéxué,zhéxué - philosophy,哲学 - zhéxué
脑,brain,nǎo,nǎo - brain,脑 - nǎo
神经科学,neuroscience,shénjīng kēxué,shénjīng kēxué - neuroscience,神经科学 - shénjīng kēxué
神经,neuron,shénjīng,shénjīng - neuron,神经 - shénjīng
医学,medicine,yīxué,yīxué - medicine,医学 - yīxué
辛苦,hard,xīnkǔ,xīnkǔ - hard,辛苦 - xīnkǔ
压力,pressure/stress,yālì,yālì - pressure/stress,压力 - yālì
毕业,graduation,bìyè,bìyè - graduation,毕业 - bìyè
教授,professor,jiàoshòu,jiàoshòu - professor,教授 - jiàoshòu
教育,education,jiàoyù,jiàoyù - education,教育 - jiàoyù
经济,Economics,jīngjì,jīngjì - Economics,经济 - jīngjì
留学,Overseas Study,liúxué,liúxué - Overseas Study,留学 - liúxué
流利,fluent,liúlì,liúlì - fluent,流利 - liúlì
压力,pressure,yālì,yālì - pressure,压力 - yālì
知识,knowledge,zhīshì,zhīshì - knowledge,知识 - zhīshì
机会,opportunity (n.) ,jīhuì,jīhuì - opportunity (n.) ,机会 - jīhuì
教育,éducation (n.) ,jiàoyù,jiàoyù - éducation (n.) ,教育 - jiàoyù
疫苗,vaccine (n.) ,yìmiáo,yìmiáo - vaccine (n.) ,疫苗 - yìmiáo
病毒,virus (n.) ,bìngdú,bìngdú - virus (n.) ,病毒 - bìngdú
感染,to infect (v.) ,gǎnrǎn,gǎnrǎn - to infect (v.) ,感染 - gǎnrǎn
安全,safety (n.); safe (adj.) ,ānquán,ānquán - safety (n.); safe (adj.) ,安全 - ānquán
专心,to concentrate (v.),zhuānxīn,zhuānxīn - to concentrate (v.),专心 - zhuānxīn
困难,difficult (adj.),kùnnán,kùnnán - difficult (adj.),困难 - kùnnán
研究,"to research, to have knowledge in sth. (v.) ",yánjiū,"yánjiū - to research, to have knowledge in sth. (v.) ",研究 - yánjiū
声音,sound (n.) ,shēngyīn,shēngyīn - sound (n.) ,声音 - shēngyīn
老板,boss (n.) ,lǎobǎn,lǎobǎn - boss (n.) ,老板 - lǎobǎn
顾问,consultant,Gùwèn,Gùwèn - consultant,顾问 - Gùwèn
电脑语言,computer language ,diànnǎo yǔyán,diànnǎo yǔyán - computer language ,电脑语言 - diànnǎo yǔyán
数据,data,shùjù,shùjù - data,数据 - shùjù
主管,supervisor/manager,zhǔguǎn,zhǔguǎn - supervisor/manager,主管 - zhǔguǎn
领域,area/field,lǐngyù,lǐngyù - area/field,领域 - lǐngyù
媒体,media,méitǐ,méitǐ - media,媒体 - méitǐ
顾客,customer (n.),gùkè,gùkè - customer (n.),顾客 - gùkè
客户,client (n.),kèhù,kèhù - client (n.),客户 - kèhù
聚会,meeting (n.),jùhuì,jùhuì - meeting (n.),聚会 - jùhuì
加入,to take part in/ to join/ to participate (v.) ,jiārù,jiārù - to take part in/ to join/ to participate (v.) ,加入 - jiārù
做生意,Do business,zuò shēngyì,zuò shēngyì - Do business,做生意 - zuò shēngyì
笔记本,notebook,bǐjìběn,bǐjìběn - notebook,笔记本 - bǐjìběn
负责,be responsible for,fùzé,fùzé - be responsible for,负责 - fùzé
工资,wages,gōngzī,gōngzī - wages,工资 - gōngzī
顾客,customer,gùkè,gùkè - customer,顾客 - gùkè
护士,Nurse,hùshì,hùshì - Nurse,护士 - hùshì
记者,Reporter,jìzhě,jìzhě - Reporter,记者 - jìzhě
技术,technology,jìshù,jìshù - technology,技术 - jìshù
加班,overtime work,jiābān,jiābān - overtime work,加班 - jiābān
奖金,bonus,jiǎngjīn,jiǎngjīn - bonus,奖金 - jiǎngjīn
经历,experience,jīnglì,jīnglì - experience,经历 - jīnglì
经验,experience,jīngyàn,jīngyàn - experience,经验 - jīngyàn
警察,Policeman,jǐngchá,jǐngchá - Policeman,警察 - jǐngchá
律师,Lawyer,lǜshī,lǜshī - Lawyer,律师 - lǜshī
判断,judge,pànduàn,pànduàn - judge,判断 - pànduàn
演员,"performer, actor",yǎnyuán,"yǎnyuán - performer, actor",演员 - yǎnyuán
招聘,recruit,zhāopìn,zhāopìn - recruit,招聘 - zhāopìn
专门,specialized,zhuānmén,zhuānmén - specialized,专门 - zhuānmén
赚,earn,zhuàn,zhuàn - earn,赚 - zhuàn
准时,on time,zhǔnshí,zhǔnshí - on time,准时 - zhǔnshí
作者,author,zuòzhě,zuòzhě - author,作者 - zuòzhě
经验,expérience (n.) ,jīngyàn,jīngyàn - expérience (n.) ,经验 - jīngyàn
裁缝,tailor (n.) ,cáiféng,cáiféng - tailor (n.) ,裁缝 - cáiféng
生意头脑,business mind (n.) ,shēngyì tóunǎo,shēngyì tóunǎo - business mind (n.) ,生意头脑 - shēngyì tóunǎo
作家,writer (n.) ,zuòjiā,zuòjiā - writer (n.) ,作家 - zuòjiā
偷,to steal (v.) ,tōu,tōu - to steal (v.) ,偷 - tōu
小偷,thief (n.) ,xiǎotōu,xiǎotōu - thief (n.) ,小偷 - xiǎotōu
薪水,salary (n.) ,xīnshuǐ,xīnshuǐ - salary (n.) ,薪水 - xīnshuǐ
加薪,to raise (v.) ,jiā xīn,jiā xīn - to raise (v.) ,加薪 - jiā xīn
下属,subordinate (n.) ,xiàshǔ,xiàshǔ - subordinate (n.) ,下属 - xiàshǔ
访问,interview,fǎngwèn,fǎngwèn - interview,访问 - fǎngwèn
产品,product (n.) ,chǎnpǐn,chǎnpǐn - product (n.) ,产品 - chǎnpǐn
生产,to produce (v.) ,shēngchǎn,shēngchǎn - to produce (v.) ,生产 - shēngchǎn
内部,internal (adj.) ,nèibù,nèibù - internal (adj.) ,内部 - nèibù
外部,external (adj.) ,wàibù,wàibù - external (adj.) ,外部 - wàibù
进步,"progress, improvement (n.) ",jìnbù,"jìnbù - progress, improvement (n.) ",进步 - jìnbù
解决,to solve (v.) ,jiějué,jiějué - to solve (v.) ,解决 - jiějué
方法,"method, approach (n.) ",fāngfǎ,"fāngfǎ - method, approach (n.) ",方法 - fāngfǎ
升迁,promotion (n.) ,shēngqiān,shēngqiān - promotion (n.) ,升迁 - shēngqiān
风险,risk (n.) ,fēngxiǎn,fēngxiǎn - risk (n.) ,风险 - fēngxiǎn
保险,insurance (n.) ,bǎoxiǎn,bǎoxiǎn - insurance (n.) ,保险 - bǎoxiǎn
实用,practical (adj.),shíyòng,shíyòng - practical (adj.),实用 - shíyòng
控制,to control (v.) ,kòngzhì,kòngzhì - to control (v.) ,控制 - kòngzhì
堵车,traffic jam,dǔchē,dǔchē - traffic jam,堵车 - dǔchē
方向,direction,fāngxiàng,fāngxiàng - direction,方向 - fāngxiàng
加油站,Gas station,jiāyóu zhàn,jiāyóu zhàn - Gas station,加油站 - jiāyóu zhàn
交通,traffic,jiāotōng,jiāotōng - traffic,交通 - jiāotōng
距离,distance,jùlí,jùlí - distance,距离 - jùlí
趟,trip,tàng,tàng - trip,趟 - tàng
座,Seat,zuò,zuò - Seat,座 - zuò
公交车,bus,Gōngjiāochē,Gōngjiāochē - bus,公交车 - Gōngjiāochē
自行车,bicycle,zìxíngchē,zìxíngchē - bicycle,自行车 - zìxíngchē
火车,train,huǒchē,huǒchē - train,火车 - huǒchē
飞机,airplane,fēijī,fēijī - airplane,飞机 - fēijī
出租车,taxi,chūzūchē,chūzūchē - taxi,出租车 - chūzūchē
摩头车,motorcycle,mótóuchē,mótóuchē - motorcycle,摩头车 - mótóuchē
地铁,subway,dìtiě,dìtiě - subway,地铁 - dìtiě
船,boat,chuán,chuán - boat,船 - chuán
撞见,to bump into + sb.,Zhuàngjiàn,Zhuàngjiàn - to bump into + sb.,撞见 - Zhuàngjiàn
走路,to walk (v.) ,Zǒulù,Zǒulù - to walk (v.) ,走路 - Zǒulù
停车场,parking lot (n.) ,tíngchē chǎng,tíngchē chǎng - parking lot (n.) ,停车场 - tíngchē chǎng
塞车,traffic jam (n.) ,sāichē,sāichē - traffic jam (n.) ,塞车 - sāichē
堵车,traffic jam (n.) ,dǔchē,dǔchē - traffic jam (n.) ,堵车 - dǔchē
座位,seat (n.) ,zuòwèi,zuòwèi - seat (n.) ,座位 - zuòwèi
请问,"Excuse me, may I ask + question ",qǐngwèn,"qǐngwèn - Excuse me, may I ask + question ",请问 - qǐngwèn
怎么去,How to go to + place ?,zěnme qù,zěnme qù - How to go to + place ?,怎么去 - zěnme qù
沿着,along ,yánzhe,yánzhe - along ,沿着 - yánzhe
一直走到底,walk straight all the way until the end ,yīzhí zǒu dàodǐ,yīzhí zǒu dàodǐ - walk straight all the way until the end ,一直走到底 - yīzhí zǒu dàodǐ
左转,turn left ,zuǒ zhuǎn,zuǒ zhuǎn - turn left ,左转 - zuǒ zhuǎn
右转,turn right ,yòu zhuǎn,yòu zhuǎn - turn right ,右转 - yòu zhuǎn
坐多久?,How long does it take to get there? ,zuò duōjiǔ,zuò duōjiǔ - How long does it take to get there? ,坐多久? - zuò duōjiǔ
从...,到... from... to... ,cóng dào,cóng dào - 到... from... to... ,从... - cóng dào
再一次,again ,zài yīcì,zài yīcì - again ,再一次 - zài yīcì
线,line (n.) ,xiàn,xiàn - line (n.) ,线 - xiàn
售票机,ticket machine (n.) ,shòupiào jī,shòupiào jī - ticket machine (n.) ,售票机 - shòupiào jī
目的地,destination (n.) ,mùdì de,mùdì de - destination (n.) ,目的地 - mùdì de
公里,kilometer ,gōnglǐ,gōnglǐ - kilometer ,公里 - gōnglǐ
公尺,meter ,gōng chǐ,gōng chǐ - meter ,公尺 - gōng chǐ
公分,centimeter ,gōngfēn,gōngfēn - centimeter ,公分 - gōngfēn
旅馆,hotel (n.) ,lǚguǎn,lǚguǎn - hotel (n.) ,旅馆 - lǚguǎn
邮局,post office (n.) ,yóujú,yóujú - post office (n.) ,邮局 - yóujú
警察局,police station (n.) ,jǐngchá jú,jǐngchá jú - police station (n.) ,警察局 - jǐngchá jú
消防局,fire department (n.) ,xiāofáng jú,xiāofáng jú - fire department (n.) ,消防局 - xiāofáng jú
幼稚园,kindergarten (n.) ,yòuzhìyuán,yòuzhìyuán - kindergarten (n.) ,幼稚园 - yòuzhìyuán
面包店,bakery (n.) ,miànbāo diàn,miànbāo diàn - bakery (n.) ,面包店 - miànbāo diàn
早餐店,breakfast place (n.) ,zǎocān diàn,zǎocān diàn - breakfast place (n.) ,早餐店 - zǎocān diàn
电影院,cinéma (n.) ,diànyǐngyuàn,diànyǐngyuàn - cinéma (n.) ,电影院 - diànyǐngyuàn
夜店,night club (n.) ,yèdiàn,yèdiàn - night club (n.) ,夜店 - yèdiàn
游泳池,swimming pool (n.) ,yóuyǒngchí,yóuyǒngchí - swimming pool (n.) ,游泳池 - yóuyǒngchí
排队,to queue (v.)  ,páiduì,páiduì - to queue (v.)  ,排队 - páiduì
对面,Opposite side,duìmiàn,duìmiàn - Opposite side,对面 - duìmiàn
台,platform,tái,tái - platform,台 - tái
抬,lift,tái,tái - lift,抬 - tái
驾照,drivers license (n.) ,jiàzhào,jiàzhào - drivers license (n.) ,驾照 - jiàzhào
市中心,city center (n.) ,shì zhōngxīn,shì zhōngxīn - city center (n.) ,市中心 - shì zhōngxīn
非洲,Africa (n.) ,fēizhōu,fēizhōu - Africa (n.) ,非洲 - fēizhōu
长城,Great Wall,chángchéng,chángchéng - Great Wall,长城 - chángchéng
长江,Yangtze River,chángjiāng,chángjiāng - Yangtze River,长江 - chángjiāng
当地,local,dāng dì,dāng dì - local,当地 - dāng dì
地球,earth,dìqiú,dìqiú - earth,地球 - dìqiú
风景,scenery,fēngjǐng,fēngjǐng - scenery,风景 - fēngjǐng
国际,international,guójì,guójì - international,国际 - guójì
海洋,ocean,hǎiyáng,hǎiyáng - ocean,海洋 - hǎiyáng
航班,flight,hángbān,hángbān - flight,航班 - hángbān
农村,countryside,nóngcūn,nóngcūn - countryside,农村 - nóngcūn
签证,visa,qiānzhèng,qiānzhèng - visa,签证 - qiānzhèng
市场,market,shìchǎng,shìchǎng - market,市场 - shìchǎng
首都,capital,shǒudū,shǒudū - capital,首都 - shǒudū
亚洲,Asia,yàzhōu,yàzhōu - Asia,亚洲 - yàzhōu
脏,dirty,zàng,zàng - dirty,脏 - zàng
中文,Chinese,zhōngwén,zhōngwén - Chinese,中文 - zhōngwén
欧洲,Europe,Ōuzhōu,Ōuzhōu - Europe,欧洲 - Ōuzhōu
美国,USA,Měiguó,Měiguó - USA,美国 - Měiguó
北美洲,North America,Běiměizhōu,Běiměizhōu - North America,北美洲 - Běiměizhōu
欧元,Euro,Ōuyuán,Ōuyuán - Euro,欧元 - Ōuyuán
美元,US Dollar,Měiyuán,Měiyuán - US Dollar,美元 - Měiyuán
巴西,Brazil,Bāxī,Bāxī - Brazil,巴西 - Bāxī
葡萄牙语,Portuguese,Pútáoyá yǔ,Pútáoyá yǔ - Portuguese,葡萄牙语 - Pútáoyá yǔ
民族,Nation,mínzú,mínzú - Nation,民族 - mínzú
湖,lake (n.) ,hú,hú - lake (n.) ,湖 - hú
背包,backpack (n.) ,bèibāo,bèibāo - backpack (n.) ,背包 - bèibāo
瑞士,Switzerland ,ruìshì,ruìshì - Switzerland ,瑞士 - ruìshì
边界,border (n.) ,biānjiè,biānjiè - border (n.) ,边界 - biānjiè
西藏,Tibet ,xīzàng,xīzàng - Tibet ,西藏 - xīzàng
省份,province (n.) ,shěngfèn,shěngfèn - province (n.) ,省份 - shěngfèn
草原,grassland (n.) ,cǎoyuán,cǎoyuán - grassland (n.) ,草原 - cǎoyuán
高兴,happy,gāoxìng,gāoxìng - happy,高兴 - gāoxìng
开心,Happy,kāixīn,kāixīn - Happy,开心 - kāixīn
生气,angry,shēngqì,shēngqì - angry,生气 - shēngqì
伤心,sad,shāngxīn,shāngxīn - sad,伤心 - shāngxīn
惊讶,surprised,jīngyà,jīngyà - surprised,惊讶 - jīngyà
放松,relax,fàngsōng,fàngsōng - relax,放松 - fàngsōng
好笑,funny,hǎoxiào,hǎoxiào - funny,好笑 - hǎoxiào
情绪,mood,qíngxù,qíngxù - mood,情绪 - qíngxù
奇怪,strange,qíguài,qíguài - strange,奇怪 - qíguài
乱的,chaotic,luàn,luàn - chaotic,乱的 - luàn
严肃的,serious,yánsù,yánsù - serious,严肃的 - yánsù
害怕,"afraid of, scared",hàipà,"hàipà - afraid of, scared",害怕 - hàipà
累,tired,lèi,lèi - tired,累 - lèi
懒惰,lazy (adj.) ,lǎnduò,lǎnduò - lazy (adj.) ,懒惰 - lǎnduò
重要,important (adj.) ,zhòngyào,zhòngyào - important (adj.) ,重要 - zhòngyào
严肃,serious (adj.),yánsù,yánsù - serious (adj.),严肃 - yánsù
同理心,empathy (n.) ,tóng lǐ xīn,tóng lǐ xīn - empathy (n.) ,同理心 - tóng lǐ xīn
好笑的,funny (adj.) ,hǎoxiào,hǎoxiào - funny (adj.) ,好笑的 - hǎoxiào
可笑的,ridiculous (adj.) ,kěxiào,kěxiào - ridiculous (adj.) ,可笑的 - kěxiào
自信(的),confidence (n.); confident (adj.),zìxìn,zìxìn - confidence (n.); confident (adj.),自信(的) - zìxìn
骄傲(的),pride (n.); proud (adj.),jiāo'ào,jiāo'ào - pride (n.); proud (adj.),骄傲(的) - jiāo'ào
高傲的,arrogant (adj.),gāo'ào,gāo'ào - arrogant (adj.),高傲的 - gāo'ào
善良,kindness (n.) ,shànliáng,shànliáng - kindness (n.) ,善良 - shànliáng
烂,"very bad, shitty (adj.) ",làn,"làn - very bad, shitty (adj.) ",烂 - làn
勇敢,brave (adj.) ,yǒnggǎn,yǒnggǎn - brave (adj.) ,勇敢 - yǒnggǎn
有活力,"vigorous, energetic (adj.)",Yǒu huólì,"Yǒu huólì - vigorous, energetic (adj.)",有活力 - Yǒu huólì
稳定,stable (adj.) ,wěndìng,wěndìng - stable (adj.) ,稳定 - wěndìng
硬,hard (adj.) ,yìng,yìng - hard (adj.) ,硬 - yìng
软,soft (adj.) ,ruǎn,ruǎn - soft (adj.) ,软 - ruǎn
自行车,bike (n.),zìxíngchē,zìxíngchē - bike (n.),自行车 - zìxíngchē
脚踏车,bike (n.),jiǎotàchē,jiǎotàchē - bike (n.),脚踏车 - jiǎotàchē
流汗,to sweat (v.),liú hàn,liú hàn - to sweat (v.),流汗 - liú hàn
汗,sweat (n.),hàn,hàn - sweat (n.),汗 - hàn
干净,clean (adj.),gānjìng,gānjìng - clean (adj.),干净 - gānjìng
清洁,to clean (v.),qīngjié,qīngjié - to clean (v.),清洁 - qīngjié
摔角,wrestling (n.),shuāijiǎo,shuāijiǎo - wrestling (n.),摔角 - shuāijiǎo
肩膀,shoulder (n.) ,jiānbǎng,jiānbǎng - shoulder (n.) ,肩膀 - jiānbǎng
机器,machine (n.),jīqì,jīqì - machine (n.),机器 - jīqì
跑步机,"treadmill, running machine (n.)",pǎobù jī,"pǎobù jī - treadmill, running machine (n.)",跑步机 - pǎobù jī
乒乓球,table tennis ,pīngpāng qiú,pīngpāng qiú - table tennis ,乒乓球 - pīngpāng qiú
篮球,basketball ,lánqiú,lánqiú - basketball ,篮球 - lánqiú
羽毛球,badminton ,yǔmáoqiú,yǔmáoqiú - badminton ,羽毛球 - yǔmáoqiú
打,to play + sports (v.),dǎ,dǎ - to play + sports (v.),打 - dǎ
借口,excuse (n.),jièkǒu,jièkǒu - excuse (n.),借口 - jièkǒu
健身房,gym (n.),jiànshēnfáng,jiànshēnfáng - gym (n.),健身房 - jiànshēnfáng
健康,health,jiànkāng,jiànkāng - health,健康 - jiànkāng
有趣的,interesting,yǒuqù de,yǒuqù de - interesting,有趣的 - yǒuqù de
兴趣,interest,xìngqù,xìngqù - interest,兴趣 - xìngqù
对...有兴趣,be interested in + sth.,duì… yǒu xìngqù,duì… yǒu xìngqù - be interested in + sth.,对...有兴趣 - duì… yǒu xìngqù
打手枪,to masturbate (v.),dǎ shǒuqiāng,dǎ shǒuqiāng - to masturbate (v.),打手枪 - dǎ shǒuqiāng
打赌,"to bet, to gamble (v.)",dǎdǔ,"dǎdǔ - to bet, to gamble (v.)",打赌 - dǎdǔ
冒险,adventure (n.); to venture (v.),màoxiǎn,màoxiǎn - adventure (n.); to venture (v.),冒险 - màoxiǎn
歌手,singer (n.) ,gēshǒu,gēshǒu - singer (n.) ,歌手 - gēshǒu
音乐人,musician (n.),yīnyuè rén,yīnyuè rén - musician (n.),音乐人 - yīnyuè rén
乐器,instrument (n.) ,yuèqì,yuèqì - instrument (n.) ,乐器 - yuèqì
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
距离,distance (n.),jùlí,jùlí - distance (n.),距离 - jùlí
窗户,window (n.) ,chuānghù,chuānghù - window (n.) ,窗户 - chuānghù
,,,,
,,,,
,,,,
,,,,
危险,danger (n.),wéixiǎn,wéixiǎn - danger (n.),危险 - wéixiǎn
危险的,dangerous (adj.) ,wéixiǎn de,wéixiǎn de - dangerous (adj.) ,危险的 - wéixiǎn de
改变,to change (v.) ,gǎibiàn,gǎibiàn - to change (v.) ,改变 - gǎibiàn
赚钱,to earn (v.) ,zhuànqián,zhuànqián - to earn (v.) ,赚钱 - zhuànqián
管帐,to manage finance (v.) ,guǎn zhàng,guǎn zhàng - to manage finance (v.) ,管帐 - guǎn zhàng
正常的,normal (adj.) ,zhèngcháng,zhèngcháng - normal (adj.) ,正常的 - zhèngcháng
传统,traditional (adj.) ,chuántǒng,chuántǒng - traditional (adj.) ,传统 - chuántǒng
现代,modern (adj.) ,xiàndài,xiàndài - modern (adj.) ,现代 - xiàndài
家庭,family (n.) ,jiātíng,jiātíng - family (n.) ,家庭 - jiātíng
关系,relationship (n.) ,guānxì,guānxì - relationship (n.) ,关系 - guānxì
男女关系,relations with partner ,nánnǚ guānxì,nánnǚ guānxì - relations with partner ,男女关系 - nánnǚ guānxì
家庭关系,family relations ,jiātíng guānxì,jiātíng guānxì - family relations ,家庭关系 - jiātíng guānxì
结婚,to marry (v.) ,jiéhūn,jiéhūn - to marry (v.) ,结婚 - jiéhūn
离婚,to divorce (v.) ,líhūn,líhūn - to divorce (v.) ,离婚 - líhūn
放弃,to give up (v.) ,fàngqì,fàngqì - to give up (v.) ,放弃 - fàngqì
责任,responsibility (n.) ,zérèn,zérèn - responsibility (n.) ,责任 - zérèn
父母,parents (n.) ,fùmǔ,fùmǔ - parents (n.) ,父母 - fùmǔ
怀孕,to get pregnant (v.) ; pregnancy (v.) ,huáiyùn,huáiyùn - to get pregnant (v.) ; pregnancy (v.) ,怀孕 - huáiyùn
大人,adult (n.),dàrén,dàrén - adult (n.),大人 - dàrén
老人,old people (n.),lǎorén,lǎorén - old people (n.),老人 - lǎorén
年轻人,young people (n.),niánqīng rén,niánqīng rén - young people (n.),年轻人 - niánqīng rén
小孩,kids (n.),xiǎohái,xiǎohái - kids (n.),小孩 - xiǎohái
孩子,kids (n.),háizi,háizi - kids (n.),孩子 - háizi
和...交往,in a relational with sb.,hé… jiāowǎng,hé… jiāowǎng - in a relational with sb.,和...交往 - hé… jiāowǎng
负责任,be responsible for,fù zérèn,fù zérèn - be responsible for,负责任 - fù zérèn
责任,responsibility,zérèn,zérèn - responsibility,责任 - zérèn
保守,conservative (adj.),bǎoshǒu,bǎoshǒu - conservative (adj.),保守 - bǎoshǒu
情况,situation (n.),qíngkuàng,qíngkuàng - situation (n.),情况 - qíngkuàng
出生,to be born (v.),chūshēng,chūshēng - to be born (v.),出生 - chūshēng
生活,life,shēnghuó,shēnghuó - life,生活 - shēnghuó
人生,life (n.),rénshēng,rénshēng - life (n.),人生 - rénshēng
一生,lifetime (n.),yīshēng,yīshēng - lifetime (n.),一生 - yīshēng
行动,action (n.) ,xíngdòng,xíngdòng - action (n.) ,行动 - xíngdòng
行为,behavior (n.) ,xíngwéi,xíngwéi - behavior (n.) ,行为 - xíngwéi
成为,to become (positively),chéngwéi,chéngwéi - to become (positively),成为 - chéngwéi
变成,to become (physically/negatively),biàn chéng,biàn chéng - to become (physically/negatively),变成 - biàn chéng
生理的,physiological,shēnglǐ,shēnglǐ - physiological,生理的 - shēnglǐ
心理的,psychological,xīnlǐ,xīnlǐ - psychological,心理的 - xīnlǐ
公斤,kilogram ,gōngjīn,gōngjīn - kilogram ,公斤 - gōngjīn
担心,to worry (v.),dānxīn,dānxīn - to worry (v.),担心 - dānxīn
交朋友,to make friends (v.? ,jiāo péngyǒu,jiāo péngyǒu - to make friends (v.? ,交朋友 - jiāo péngyǒu
重的,heavy (adj.),zhòng,zhòng - heavy (adj.),重的 - zhòng
轻的,light (adj.) ,qīng,qīng - light (adj.) ,轻的 - qīng
胖的,fat (adj.),pàng,pàng - fat (adj.),胖的 - pàng
瘦的,thin (adj.),shòu,shòu - thin (adj.),瘦的 - shòu
老公,husband (n.) ,lǎogōng,lǎogōng - husband (n.) ,老公 - lǎogōng
老婆,wife (n.) ,lǎopó,lǎopó - wife (n.) ,老婆 - lǎopó
和...有关, A is related to B ,hé... Yǒuguān,hé... Yǒuguān -  A is related to B ,和...有关 - hé... Yǒuguān
影片,"film, vidéo (n.)",Yǐngpiàn,"Yǐngpiàn - film, vidéo (n.)",影片 - Yǐngpiàn
捧花,bouquet (n.),pěng huā,pěng huā - bouquet (n.),捧花 - pěng huā
抓,to grab (v.),zhuā,zhuā - to grab (v.),抓 - zhuā
婴儿,baby (n.),yīng'ér,yīng'ér - baby (n.),婴儿 - yīng'ér
体验,to expérience (v.),tǐyàn,tǐyàn - to expérience (v.),体验 - tǐyàn
新人,newly wed couple (n.),xīnrén,xīnrén - newly wed couple (n.),新人 - xīnrén
