Hanzi,English,Pinyin,Pinyin + English,Hanzi + Pinyin
亲近,to be close to sb. (v.) ,qīnjìn,qīnjìn - to be close to sb. (v.) ,亲近 - qīnjìn
邀请,to invite (v.) ,yāoqǐng,yāoqǐng - to invite (v.) ,邀请 - yāoqǐng
建议,to suggest (v.),jiànyì,jiànyì - to suggest (v.),建议 - jiànyì
灵魂,soul (n.),línghún,línghún - soul (n.),灵魂 - línghún
适合,to suit (v.),shìhé,shìhé - to suit (v.),适合 - shìhé
合适,suitable (adj.),héshì,héshì - suitable (adj.),合适 - héshì
外甥女,niece (n.),wàishēngnǚ,wàishēngnǚ - niece (n.),外甥女 - wàishēngnǚ
继父,step father (n.),jìfù,jìfù - step father (n.),继父 - jìfù
玩具,toy (n.),wánjù,wánjù - toy (n.),玩具 - wánjù
寄,to send (v.),jì,jì - to send (v.),寄 - jì
期待,"to expect, to look forward to (v.) ",qídài,"qídài - to expect, to look forward to (v.) ",期待 - qídài
惊喜,surprise (n.) ,jīngxǐ,jīngxǐ - surprise (n.) ,惊喜 - jīngxǐ
决定,"to decide, decision (v.) (n.)",juédìng,"juédìng - to decide, decision (v.) (n.)",决定 - juédìng
室友,flatmate (n.),shìyǒu,shìyǒu - flatmate (n.),室友 - shìyǒu
复杂,complicated (adj.) ,fùzá,fùzá - complicated (adj.) ,复杂 - fùzá
交换礼物,exchange gifts ,jiāohuàn lǐwù,jiāohuàn lǐwù - exchange gifts ,交换礼物 - jiāohuàn lǐwù
收,to receive (v.) ,shōu,shōu - to receive (v.) ,收 - shōu
欺负,to bully (v.),qīfù,qīfù - to bully (v.),欺负 - qīfù
讨论,to discuss (v.); discussion (n.),tǎolùn,tǎolùn - to discuss (v.); discussion (n.),讨论 - tǎolùn
比较,to compare (v.) ,bǐjiào,bǐjiào - to compare (v.) ,比较 - bǐjiào
一般来说,"generally speaking, in general ",yībān lái shuō,"yībān lái shuō - generally speaking, in general ",一般来说 - yībān lái shuō
说谎,to lie (v.) ,shuōhuǎng,shuōhuǎng - to lie (v.) ,说谎 - shuōhuǎng
无聊的,boring (adj.),wúliáo,wúliáo - boring (adj.),无聊的 - wúliáo
兴趣,interest (n.),xìngqù,xìngqù - interest (n.),兴趣 - xìngqù
明显的,obvious (adj.),míngxiǎn,míngxiǎn - obvious (adj.),明显的 - míngxiǎn
感觉,to feel (v.) ; feeling (n.) ,gǎnjué,gǎnjué - to feel (v.) ; feeling (n.) ,感觉 - gǎnjué
没办法,no way ,méi bànfǎ,méi bànfǎ - no way ,没办法 - méi bànfǎ
借口,excuse (n.),jièkǒu,jièkǒu - excuse (n.),借口 - jièkǒu
想像,to imagine (v.); imagination (n.) ,xiǎngxiàng,xiǎngxiàng - to imagine (v.); imagination (n.) ,想像 - xiǎngxiàng
相信,to believe (v.) ,xiāngxìn,xiāngxìn - to believe (v.) ,相信 - xiāngxìn
信任,to trust (v.); trust (n.) ,xìnrèn,xìnrèn - to trust (v.); trust (n.) ,信任 - xìnrèn
原因,reason (n.) ,yuányīn,yuányīn - reason (n.) ,原因 - yuányīn
穷人,the poor ,Qióngrén,Qióngrén - the poor ,穷人 - Qióngrén
平等,equality (n.),píngděng,píngděng - equality (n.),平等 - píngděng
男女平等,gender equality ,nánnǚ píngděng,nánnǚ píngděng - gender equality ,男女平等 - nánnǚ píngděng
选举,election (n.) ,xuǎnjǔ,xuǎnjǔ - election (n.) ,选举 - xuǎnjǔ
结果,result (n.) ,jiéguǒ,jiéguǒ - result (n.) ,结果 - jiéguǒ
性别,"sex, gender (n.) ",xìngbié,"xìngbié - sex, gender (n.) ",性别 - xìngbié
种族,race (n.) ,zhǒngzú,zhǒngzú - race (n.) ,种族 - zhǒngzú
歧视,discrimination (n.) ,qíshì,qíshì - discrimination (n.) ,歧视 - qíshì
表里不一,"duplicity, hypocrisy (n.) ",biǎo lǐ bù yī,"biǎo lǐ bù yī - duplicity, hypocrisy (n.) ",表里不一 - biǎo lǐ bù yī
评论,"to comment, to judge (v.) ",pínglùn,"pínglùn - to comment, to judge (v.) ",评论 - pínglùn
依赖,to reply on (n.) ,yīlài,yīlài - to reply on (n.) ,依赖 - yīlài
支持,to support (v.) ,zhīchí,zhīchí - to support (v.) ,支持 - zhīchí
支持者,supporter (n.) ,zhīchí zhě,zhīchí zhě - supporter (n.) ,支持者 - zhīchí zhě
尊严,dignity (n.) ,zūnyán,zūnyán - dignity (n.) ,尊严 - zūnyán
观点,perspective (n.) ,guāndiǎn,guāndiǎn - perspective (n.) ,观点 - guāndiǎn
赢,to win (v.) ,yíng,yíng - to win (v.) ,赢 - yíng
输,to lose (v.) ,shū,shū - to lose (v.) ,输 - shū
独立,independence (n.),dúlì,dúlì - independence (n.),独立 - dúlì
环境,environment (n.) ,huánjìng,huánjìng - environment (n.) ,环境 - huánjìng
环境保护,environment protection (n.) ,huánjìng bǎohù,huánjìng bǎohù - environment protection (n.) ,环境保护 - huánjìng bǎohù
保护,to protect (v.) ,bǎohù,bǎohù - to protect (v.) ,保护 - bǎohù
市长,mayor (n.) ,shì zhǎng,shì zhǎng - mayor (n.) ,市长 - shì zhǎng
政客,politician (negative),zhèngkè,zhèngkè - politician (negative),政客 - zhèngkè
形象,image (n.) ,xíngxiàng,xíngxiàng - image (n.) ,形象 - xíngxiàng
意义,meaning (n.) ,yìyì,yìyì - meaning (n.) ,意义 - yìyì
改善,to improve (v.) ,gǎishàn,gǎishàn - to improve (v.) ,改善 - gǎishàn
抗议,to protest (v.); protest (n.) ,kàngyì,kàngyì - to protest (v.); protest (n.) ,抗议 - kàngyì
激进的,radical (adj.) ,jījìn,jījìn - radical (adj.) ,激进的 - jījìn
国防,national defense (n.) ,guófáng,guófáng - national defense (n.) ,国防 - guófáng
军事,army (n.) ,jūnshì,jūnshì - army (n.) ,军事 - jūnshì
太阳能,solar energy (n.),tàiyángnéng,tàiyángnéng - solar energy (n.),太阳能 - tàiyángnéng
能量,energy (n.) ,néngliàng,néngliàng - energy (n.) ,能量 - néngliàng
压迫,to suppress / oppress (v.) ,yāpò,yāpò - to suppress / oppress (v.) ,压迫 - yāpò
佛教,Buddhism (n.),fójiào,fójiào - Buddhism (n.),佛教 - fójiào
各付各的,go Dutch ,Gè fù gè de,Gè fù gè de - go Dutch ,各付各的 - Gè fù gè de
下酒菜,snacks (when having a drink),xià jiǔcài,xià jiǔcài - snacks (when having a drink),下酒菜 - xià jiǔcài
菜单,menu (n.),càidān,càidān - menu (n.),菜单 - càidān
付钱,to pay (v.),fù qián,fù qián - to pay (v.),付钱 - fù qián
选择,to choose (v.),xuǎnzé,xuǎnzé - to choose (v.),选择 - xuǎnzé
商店,store,shāngdiàn,shāngdiàn - store,商店 - shāngdiàn
干净,clean (adj.),gānjìng,gānjìng - clean (adj.),干净 - gānjìng
鸡尾酒,cocktail,Jīwěijiǔ,Jīwěijiǔ - cocktail,鸡尾酒 - Jīwěijiǔ
喝醉,to get drunk,hē zuì,hē zuì - to get drunk,喝醉 - hē zuì
煮饭,to cook (v.),Zhǔ fàn,Zhǔ fàn - to cook (v.),煮饭 - Zhǔ fàn
做饭,to cook (v.) ,zuò fàn,zuò fàn - to cook (v.) ,做饭 - zuò fàn
很难喝,disgusting/bad taste (drinks),hěn nán hē,hěn nán hē - disgusting/bad taste (drinks),很难喝 - hěn nán hē
暖气,heater (n.),nuǎnqì,nuǎnqì - heater (n.),暖气 - nuǎnqì
春天,spring (n.),chūntiān,chūntiān - spring (n.),春天 - chūntiān
夏天,summer (n.),xiàtiān,xiàtiān - summer (n.),夏天 - xiàtiān
秋天,autumn (n.),qiūtiān,qiūtiān - autumn (n.),秋天 - qiūtiān
冬天,winter (n.),dōngtiān,dōngtiān - winter (n.),冬天 - dōngtiān
春夏秋东,spring summer autumn winter,chūn xiàqiūdōng,chūn xiàqiūdōng - spring summer autumn winter,春夏秋东 - chūn xiàqiūdōng
前天,the day before yesterday ,qiántiān,qiántiān - the day before yesterday ,前天 - qiántiān
昨天,yesterday ,zuótiān,zuótiān - yesterday ,昨天 - zuótiān
今天,today ,jīntiān,jīntiān - today ,今天 - jīntiān
明天,tomorrow ,míngtiān,míngtiān - tomorrow ,明天 - míngtiān
后天,the day after tomorrow ,hòutiān,hòutiān - the day after tomorrow ,后天 - hòutiān
去年,last year ,qùnián,qùnián - last year ,去年 - qùnián
今年,this year ,jīnnián,jīnnián - this year ,今年 - jīnnián
明年,next year ,míngnián,míngnián - next year ,明年 - míngnián
气候,climate (n.),qìhòu,qìhòu - climate (n.),气候 - qìhòu
暖化,warming (v.),nuǎn huà,nuǎn huà - warming (v.),暖化 - nuǎn huà
打雷,thunder (v.),dǎléi,dǎléi - thunder (v.),打雷 - dǎléi
这几年,"these years, lately, recently  ",zhè jǐ nián,"zhè jǐ nián - these years, lately, recently  ",这几年 - zhè jǐ nián
之后,afterwards (adv.) ,zhīhòu,zhīhòu - afterwards (adv.) ,之后 - zhīhòu
通常,usually,tōngcháng,tōngcháng - usually,通常 - tōngcháng
总是,always,zǒng shì,zǒng shì - always,总是 - zǒng shì
暖气,heater (n.),nuǎnqì,nuǎnqì - heater (n.),暖气 - nuǎnqì
冷气,air conditioner (n.),lěngqì,lěngqì - air conditioner (n.),冷气 - lěngqì
以前,"before, in the past",yǐqián,"yǐqián - before, in the past",以前 - yǐqián
上周,last week ,shàng zhōu,shàng zhōu - last week ,上周 - shàng zhōu
下周,next Week ,xià zhōu,xià zhōu - next Week ,下周 - xià zhōu
放假,to take holidays (v.),fàngjià,fàngjià - to take holidays (v.),放假 - fàngjià
假日,holiday (n.) ,jiàrì,jiàrì - holiday (n.) ,假日 - jiàrì
改天,"another time, another day ",gǎitiān,"gǎitiān - another time, another day ",改天 - gǎitiān
脸,face,liǎn,liǎn - face,脸 - liǎn
皮肤,skin,pífū,pífū - skin,皮肤 - pífū
嘴巴,mouth,zuǐbā,zuǐbā - mouth,嘴巴 - zuǐbā
眉毛,eyebrow,méimáo,méimáo - eyebrow,眉毛 - méimáo
睫毛,eyelash,jiémáo,jiémáo - eyelash,睫毛 - jiémáo
胡子,beard,húzi,húzi - beard,胡子 - húzi
脖子,neck,bózi,bózi - neck,脖子 - bózi
胸部,chest,xiōngbù,xiōngbù - chest,胸部 - xiōngbù
背部,back,bèibù,bèibù - back,背部 - bèibù
手臂,arm,shǒubì,shǒubì - arm,手臂 - shǒubì
肩膀,shoulder,jiānbǎng,jiānbǎng - shoulder,肩膀 - jiānbǎng
屁股,butt,pìgu,pìgu - butt,屁股 - pìgu
手指,finger,shǒuzhǐ,shǒuzhǐ - finger,手指 - shǒuzhǐ
脚趾,toe,jiǎozhǐ,jiǎozhǐ - toe,脚趾 - jiǎozhǐ
大腿,thigh,dàtuǐ,dàtuǐ - thigh,大腿 - dàtuǐ
小腿,calf,xiǎotuǐ,xiǎotuǐ - calf,小腿 - xiǎotuǐ
牙齿,teeth (n.),Yáchǐ,Yáchǐ - teeth (n.),牙齿 - Yáchǐ
舌头,tongue (n.),shétou,shétou - tongue (n.),舌头 - shétou
身体,body (n.),shēntǐ,shēntǐ - body (n.),身体 - shēntǐ
头,head (n.),tóu,tóu - head (n.),头 - tóu
肚子,belly (n.),dùzi,dùzi - belly (n.),肚子 - dùzi
啤酒肚,béer belly (n.),píjiǔdù,píjiǔdù - béer belly (n.),啤酒肚 - píjiǔdù
手掌,palm (n.),shǒuzhǎng,shǒuzhǎng - palm (n.),手掌 - shǒuzhǎng
脚掌,source of the feet (n.),jiǎozhǎng,jiǎozhǎng - source of the feet (n.),脚掌 - jiǎozhǎng
手毛,hair (on the arms) ,shǒu máo,shǒu máo - hair (on the arms) ,手毛 - shǒu máo
脚毛,haïr (on thé legs) ,jiǎo máo,jiǎo máo - haïr (on thé legs) ,脚毛 - jiǎo máo
膝盖,knee (n.) ,xīgài,xīgài - knee (n.) ,膝盖 - xīgài
鸭,Duck,Yā,Yā - Duck,鸭 - Yā
鸡,Chicken,jī,jī - Chicken,鸡 - jī
狗,Dog,gǒu,gǒu - Dog,狗 - gǒu
猫,Cat,māo,māo - Cat,猫 - māo
鸟,Bird,niǎo,niǎo - Bird,鸟 - niǎo
牛,Cow,niú,niú - Cow,牛 - niú
马,Horse,mǎ,mǎ - Horse,马 - mǎ
老鼠,Mouse,lǎoshǔ,lǎoshǔ - Mouse,老鼠 - lǎoshǔ
羊,Sheep,yáng,yáng - Sheep,羊 - yáng
猴子,Monkey,hóuzi,hóuzi - Monkey,猴子 - hóuzi
兔子,Bunny,tùzǐ,tùzǐ - Bunny,兔子 - tùzǐ
猪,Pig,zhū,zhū - Pig,猪 - zhū
鹿,Deer,lù,lù - Deer,鹿 - lù
熊,Bear,xióng,xióng - Bear,熊 - xióng
大象,Elephant,dà xiàng,dà xiàng - Elephant,大象 - dà xiàng
狐狸,Fox,húlí,húlí - Fox,狐狸 - húlí
狮子,Lion,shīzi,shīzi - Lion,狮子 - shīzi
老虎,Tiger,lǎohǔ,lǎohǔ - Tiger,老虎 - lǎohǔ
熊猫,Panda,xióngmāo,xióngmāo - Panda,熊猫 - xióngmāo
无尾熊,Koala,wuweixiong,wuweixiong - Koala,无尾熊 - wuweixiong
农场,farm (n.),nóngchǎng,nóngchǎng - farm (n.),农场 - nóngchǎng
臭,"stink, smelly (adj.)",chòu,"chòu - stink, smelly (adj.)",臭 - chòu
香,smells good (could be food or perfume or flower) (adj.),xiāng,xiāng - smells good (could be food or perfume or flower) (adj.),香 - xiāng
香水,perfume (n.),xiāngshuǐ,xiāngshuǐ - perfume (n.),香水 - xiāngshuǐ
大便,poop (n.) ,dàbiàn,dàbiàn - poop (n.) ,大便 - dàbiàn
小便,pee (n.),xiǎobiàn,xiǎobiàn - pee (n.),小便 - xiǎobiàn
动物园,zoo (n.),dòngwùyuán,dòngwùyuán - zoo (n.),动物园 - dòngwùyuán
猴子,monkey (n.),hóuzi,hóuzi - monkey (n.),猴子 - hóuzi
鹅,goose (n.),é,é - goose (n.),鹅 - é
蛇,snake (n.) ,shé,shé - snake (n.) ,蛇 - shé
豹,leopard (n.) ,bào,bào - leopard (n.) ,豹 - bào
乌龟,tortoise (n.),wūguī,wūguī - tortoise (n.),乌龟 - wūguī
动物,animal (n.),dòngwù,dòngwù - animal (n.),动物 - dòngwù
宠物,pet (n.),chǒngwù,chǒngwù - pet (n.),宠物 - chǒngwù
宠,to spoil (v.) ,chǒng,chǒng - to spoil (v.) ,宠 - chǒng
恐龙,dinosaur (n.),kǒnglóng,kǒnglóng - dinosaur (n.),恐龙 - kǒnglóng
植物,plant (n.),zhíwù,zhíwù - plant (n.),植物 - zhíwù
椅子,chair (n.) ,yǐzi,yǐzi - chair (n.) ,椅子 - yǐzi
窗户,window (n.) ,chuānghù,chuānghù - window (n.) ,窗户 - chuānghù
镜子,mirror (n.) ,jìngzi,jìngzi - mirror (n.) ,镜子 - jìngzi
房间,room (n.) ,fángjiān,fángjiān - room (n.) ,房间 - fángjiān
厨房,kitchen (n.) ,chúfáng,chúfáng - kitchen (n.) ,厨房 - chúfáng
客厅,living room (n.) ,kètīng,kètīng - living room (n.) ,客厅 - kètīng
餐厅,restaurant (n.) ,cāntīng,cāntīng - restaurant (n.) ,餐厅 - cāntīng
冰箱,fridge (n.) ,bīngxiāng,bīngxiāng - fridge (n.) ,冰箱 - bīngxiāng
衣柜,wardrobe (n.) ,yīguì,yīguì - wardrobe (n.) ,衣柜 - yīguì
沙发,sofa (n.) ,shāfā,shāfā - sofa (n.) ,沙发 - shāfā
窗帘,curtain (n.) ,chuānglián,chuānglián - curtain (n.) ,窗帘 - chuānglián
地板,floor (n.) ,dìbǎn,dìbǎn - floor (n.) ,地板 - dìbǎn
地毯,carpet (n.) ,dìtǎn,dìtǎn - carpet (n.) ,地毯 - dìtǎn
毯子,blanket (n.) ,tǎnzi,tǎnzi - blanket (n.) ,毯子 - tǎnzi
家具,furniture (n.) ,jiājù,jiājù - furniture (n.) ,家具 - jiājù
枕头,pillow (n.) ,zhěntou,zhěntou - pillow (n.) ,枕头 - zhěntou
门铃,doorbell,ménlíng,ménlíng - doorbell,门铃 - ménlíng
空间,space (n.) ,kōngjiān,kōngjiān - space (n.) ,空间 - kōngjiān
地下室,cellar (n.) ,dìxiàshì,dìxiàshì - cellar (n.) ,地下室 - dìxiàshì
柳丁,orange (n.),liǔ dīng,liǔ dīng - orange (n.),柳丁 - liǔ dīng
橘子,mandarine (n.),júzi,júzi - mandarine (n.),橘子 - júzi
花椰菜,brocoli (n.),huāyēcài,huāyēcài - brocoli (n.),花椰菜 - huāyēcài
红萝卜,carrot (n.),hóng luóbo,hóng luóbo - carrot (n.),红萝卜 - hóng luóbo
草莓,strawberry,Cǎoméi,Cǎoméi - strawberry,草莓 - Cǎoméi
葡萄,grapes,pútáo,pútáo - grapes,葡萄 - pútáo
梨,pear,lí,lí - pear,梨 - lí
柠檬,lemon,níngméng,níngméng - lemon,柠檬 - níngméng
土豆,potato,tǔdòu,tǔdòu - potato,土豆 - tǔdòu
洋葱,onion,yángcōng,yángcōng - onion,洋葱 - yángcōng
包菜,salad,bāo,bāo - salad,包菜 - bāo
蘑菇,mushroom,cài,cài - mushroom,蘑菇 - cài
黄瓜,cucumber,mógū,mógū - cucumber,黄瓜 - mógū
玉米,corn,huángguā,huángguā - corn,玉米 - huángguā
南瓜,pumpkin,yùmǐ,yùmǐ - pumpkin,南瓜 - yùmǐ
巧克力,chocolate (n.) ,qiǎokèlì,qiǎokèlì - chocolate (n.) ,巧克力 - qiǎokèlì
琴酒,Gin ,qín jiǔ,qín jiǔ - Gin ,琴酒 - qín jiǔ
酒精,alcohol ,jiǔjīng,jiǔjīng - alcohol ,酒精 - jiǔjīng
上衣,shirt/top,Shàngyī,Shàngyī - shirt/top,上衣 - Shàngyī
大衣,coat,dàyī,dàyī - coat,大衣 - dàyī
雨衣,raincoat,yǔyī,yǔyī - raincoat,雨衣 - yǔyī
毛衣,sweater,máoyī,máoyī - sweater,毛衣 - máoyī
夹克,jacket,jiákè,jiákè - jacket,夹克 - jiákè
外套,jacket,wàitào,wàitào - jacket,外套 - wàitào
衬衫,shirt,chènshān,chènshān - shirt,衬衫 - chènshān
裤子,pants,kùzi,kùzi - pants,裤子 - kùzi
长裤,trousers,cháng kù,cháng kù - trousers,长裤 - cháng kù
短裤,shorts,duǎnkù,duǎnkù - shorts,短裤 - duǎnkù
牛仔裤,jeans,niúzǎikù,niúzǎikù - jeans,牛仔裤 - niúzǎikù
内裤,panties,nèikù,nèikù - panties,内裤 - nèikù
内衣,underwear/bra,nèiyī,nèiyī - underwear/bra,内衣 - nèiyī
帽子,hat,màozi,màozi - hat,帽子 - màozi
毛帽,beanie,máo mào,máo mào - beanie,毛帽 - máo mào
裙子,skirt,qúnzi,qúnzi - skirt,裙子 - qúnzi
洋装,dress,yángzhuāng,yángzhuāng - dress,洋装 - yángzhuāng
袜子,sock,wàzi,wàzi - sock,袜子 - wàzi
围巾,scarf,wéijīn,wéijīn - scarf,围巾 - wéijīn
粉红色,pink,fěnhóng sè,fěnhóng sè - pink,粉红色 - fěnhóng sè
灰色,gray,huīsè,huīsè - gray,灰色 - huīsè
棕色,brown,zōngsè,zōngsè - brown,棕色 - zōngsè
咖啡色,brown,kāfēisè,kāfēisè - brown,咖啡色 - kāfēisè
紫色,purple,zǐsè,zǐsè - purple,紫色 - zǐsè
西装,suit (n.),xīzhuāng,xīzhuāng - suit (n.),西装 - xīzhuāng
正式,formal (adj.),zhèngshì,zhèngshì - formal (adj.),正式 - zhèngshì
冰岛,Iceland ,Bīngdǎo,Bīngdǎo - Iceland ,冰岛 - Bīngdǎo
博物馆,museum (n.),bówùguǎn,bówùguǎn - museum (n.),博物馆 - bówùguǎn
自然,nature (n.),zìrán,zìrán - nature (n.),自然 - zìrán
温泉,hot spring (n.) ,wēnquán,wēnquán - hot spring (n.) ,温泉 - wēnquán
火山,volcano (n.) ,huǒshān,huǒshān - volcano (n.) ,火山 - huǒshān
说服,to convince (v.) ,shuōfú,shuōfú - to convince (v.) ,说服 - shuōfú
尼泊尔,Nepal ,níbó'ěr,níbó'ěr - Nepal ,尼泊尔 - níbó'ěr
人力车,rickshaw (n.) ,rén lì chē,rén lì chē - rickshaw (n.) ,人力车 - rén lì chē
轮子,wheel (n.) ,lún zi,lún zi - wheel (n.) ,轮子 - lún zi
庆典,festival (n.) ,qìngdiǎn,qìngdiǎn - festival (n.) ,庆典 - qìngdiǎn
向导,guide (n.) ,xiàngdǎo,xiàngdǎo - guide (n.) ,向导 - xiàngdǎo
疫苗,vaccine (n.) ,yìmiáo,yìmiáo - vaccine (n.) ,疫苗 - yìmiáo
消防人员,fireman (n.) ,xiāofáng rényuán,xiāofáng rényuán - fireman (n.) ,消防人员 - xiāofáng rényuán
优先,priority (n.) ,yōuxiān,yōuxiān - priority (n.) ,优先 - yōuxiān
打疫苗,to get vaccinated (v.) ,dǎ yìmiáo,dǎ yìmiáo - to get vaccinated (v.) ,打疫苗 - dǎ yìmiáo
打针,"to get a shot, to get an injection (v.) ",dǎzhēn,"dǎzhēn - to get a shot, to get an injection (v.) ",打针 - dǎzhēn
抽血,to draw blood (v.),chōu xiě,chōu xiě - to draw blood (v.),抽血 - chōu xiě
寄信,to send a letter (v.) ,jì xìn,jì xìn - to send a letter (v.) ,寄信 - jì xìn
感动,moved (emotionally),gǎndòng,gǎndòng - moved (emotionally),感动 - gǎndòng
规定,rule (n.) ,guīdìng,guīdìng - rule (n.) ,规定 - guīdìng
消毒水,disinfection (n.) ,xiāodú shuǐ,xiāodú shuǐ - disinfection (n.) ,消毒水 - xiāodú shuǐ
享受,to enjoy (v.) ,xiǎngshòu,xiǎngshòu - to enjoy (v.) ,享受 - xiǎngshòu
接受,to accept (v.) ,jiēshòu,jiēshòu - to accept (v.) ,接受 - jiēshòu
够了,enough (adj.),Gòule,Gòule - enough (adj.),够了 - Gòule
烤箱,oven (n.),kǎoxiāng,kǎoxiāng - oven (n.),烤箱 - kǎoxiāng
食谱,receipt (n.),shípǔ,shípǔ - receipt (n.),食谱 - shípǔ
微波炉,microwave (n.),wéibōlú,wéibōlú - microwave (n.),微波炉 - wéibōlú
相处,get along (v.),xiāngchǔ,xiāngchǔ - get along (v.),相处 - xiāngchǔ
复活,résurrection (n./v.),fùhuó,fùhuó - résurrection (n./v.),复活 - fùhuó
地瓜,sweet potato (n.) ,dìguā,dìguā - sweet potato (n.) ,地瓜 - dìguā
薯条,fries (n.) ,shǔ tiáo,shǔ tiáo - fries (n.) ,薯条 - shǔ tiáo
吃素,be a vegetarian (v.) ,chīsù,chīsù - be a vegetarian (v.) ,吃素 - chīsù
素食,vegetarian food (n.) ,sùshí,sùshí - vegetarian food (n.) ,素食 - sùshí
分享,share (v.) ,fēnxiǎng,fēnxiǎng - share (v.) ,分享 - fēnxiǎng
社交活动,social activities (n.) ,shèjiāo huódòng,shèjiāo huódòng - social activities (n.) ,社交活动 - shèjiāo huódòng
社会,society (n.) ,shèhuì,shèhuì - society (n.) ,社会 - shèhuì
享受,enjoy (v/adj.) ,xiǎngshòu,xiǎngshòu - enjoy (v/adj.) ,享受 - xiǎngshòu
分手,break up (v.) ,fēnshǒu,fēnshǒu - break up (v.) ,分手 - fēnshǒu
经验,expérience (n.) ,jīngyàn,jīngyàn - expérience (n.) ,经验 - jīngyàn
诚实的,honest (adj.),chéngshí,chéngshí - honest (adj.),诚实的 - chéngshí
做自己,be yourself (v.) ,zuò zìjǐ,zuò zìjǐ - be yourself (v.) ,做自己 - zuò zìjǐ
解释,to explain (v.) ,Jiěshì,Jiěshì - to explain (v.) ,解释 - Jiěshì
乡下,countryside (n.) ,xiāngxià,xiāngxià - countryside (n.) ,乡下 - xiāngxià
盖房子,to build a house (n.) ,gài fángzi,gài fángzi - to build a house (n.) ,盖房子 - gài fángzi
确定,to ensure (v.) ,quèdìng,quèdìng - to ensure (v.) ,确定 - quèdìng
资本主义,capitalism (n.) ,zīběn zhǔyì,zīběn zhǔyì - capitalism (n.) ,资本主义 - zīběn zhǔyì
舒适圈,comfort zone (n.) ,shūshì quān,shūshì quān - comfort zone (n.) ,舒适圈 - shūshì quān
失去,to lose sth/sb. (v.) ,shīqù,shīqù - to lose sth/sb. (v.) ,失去 - shīqù
输,to lose a game or a competition (v.) ,Shū,Shū - to lose a game or a competition (v.) ,输 - Shū
清单,checklist (n.) ,qīngdān,qīngdān - checklist (n.) ,清单 - qīngdān
整齐,neat (adj.) ,zhěngqí,zhěngqí - neat (adj.) ,整齐 - zhěngqí
闻到,to smell (v.) ,wén dào,wén dào - to smell (v.) ,闻到 - wén dào
味道,"smell/odor, taste (n.) ",wèidào,"wèidào - smell/odor, taste (n.) ",味道 - wèidào
夹子,clip (n.) ,jiázi,jiázi - clip (n.) ,夹子 - jiázi
想家,homesick (adj./v.),xiǎng jiā,xiǎng jiā - homesick (adj./v.),想家 - xiǎng jiā
思乡,home sick ,sīxiāng,sīxiāng - home sick ,思乡 - sīxiāng
