Hanzi,Pinyin,English,Hanzi + Pinyin,Pinyin + English,HSK level
下个星期天把朋友们都叫来一起吃饭。,Xià gè xīngqītiān bǎ péngyoumen dōu jiào lái yìqǐ chīfàn.,"Next Sunday, let's gather friends to eat together.",下个星期天把朋友们都叫来一起吃饭。 - Xià gè xīngqītiān bǎ péngyoumen dōu jiào lái yìqǐ chīfàn.,"Xià gè xīngqītiān bǎ péngyoumen dōu jiào lái yìqǐ chīfàn. - Next Sunday, let's gather friends to eat together.",3
A: 我想他喜欢吃面条和蛋糕。 B: 没错！你都说对了，他喜欢吃面条和蛋糕。,"A: Wǒ xiǎng tā xǐhuan chī miàntiáo hé dàngāo. B: Méicuò! Nǐ dōu shuō duìle, tā xǐhuan chī miàntiáo hé dàngāo.","A: I think he likes to eat noodles and cake. B: Yes! You're right, he likes to eat noodles and cakes.","A: 我想他喜欢吃面条和蛋糕。 B: 没错！你都说对了，他喜欢吃面条和蛋糕。 - A: Wǒ xiǎng tā xǐhuan chī miàntiáo hé dàngāo. B: Méicuò! Nǐ dōu shuō duìle, tā xǐhuan chī miàntiáo hé dàngāo.","A: Wǒ xiǎng tā xǐhuan chī miàntiáo hé dàngāo. B: Méicuò! Nǐ dōu shuō duìle, tā xǐhuan chī miàntiáo hé dàngāo. - A: I think he likes to eat noodles and cake. B: Yes! You're right, he likes to eat noodles and cakes.",3
我终于学会开车了。,Wǒ zhōngyú xuéhuì kāichē le.,I finally learned how to drive.,我终于学会开车了。 - Wǒ zhōngyú xuéhuì kāichē le.,Wǒ zhōngyú xuéhuì kāichē le. - I finally learned how to drive.,3
你就放心地去旅游吧！我会好好照顾自己的。,Nǐ jiù fàngxīn dì qù lǚyóu ba! Wǒ huì hǎohāo zhàogù zìjǐ de.,Just don't worry and go travel! I will take care of myself!,你就放心地去旅游吧！我会好好照顾自己的。 - Nǐ jiù fàngxīn dì qù lǚyóu ba! Wǒ huì hǎohāo zhàogù zìjǐ de.,Nǐ jiù fàngxīn dì qù lǚyóu ba! Wǒ huì hǎohāo zhàogù zìjǐ de. - Just don't worry and go travel! I will take care of myself!,3
我已经报名学开车了。,Wǒ yǐjīng bàomíng xué kāichē le.,I've already applied for driving lessons.,我已经报名学开车了。 - Wǒ yǐjīng bàomíng xué kāichē le.,Wǒ yǐjīng bàomíng xué kāichē le. - I've already applied for driving lessons.,2
我很害怕一个人开车。,Wǒ hěn hàipà yígè rén kāichē.,I'm afraid to drive alone.,我很害怕一个人开车。 - Wǒ hěn hàipà yígè rén kāichē.,Wǒ hěn hàipà yígè rén kāichē. - I'm afraid to drive alone.,3
今天是假日，街道上都没有人。,"Jīntiān shì jiàrì, jiēdào shàng dōu méiyǒu rén.","Today is a holiday, so there's no one on the street.","今天是假日，街道上都没有人。 - Jīntiān shì jiàrì, jiēdào shàng dōu méiyǒu rén.","Jīntiān shì jiàrì, jiēdào shàng dōu méiyǒu rén. - Today is a holiday, so there's no one on the street.",3
他家有两辆汽车。,Tā jiā yǒu liǎng liàng qìchē.,There are two cars in his house.,他家有两辆汽车。 - Tā jiā yǒu liǎng liàng qìchē.,Tā jiā yǒu liǎng liàng qìchē. - There are two cars in his house.,3
电影的门票一张是三百元。,Diànyǐng de ménpiào yì zhāng shì sān bǎi yuán.,The ticket for cinema is 300 dollars.,电影的门票一张是三百元。 - Diànyǐng de ménpiào yì zhāng shì sān bǎi yuán.,Diànyǐng de ménpiào yì zhāng shì sān bǎi yuán. - The ticket for cinema is 300 dollars.,3
中国每年都有很多游客来旅游。,Zhōngguó měi nián dōu yǒu hěnduō yóukè lái lǚyóu.,There are a lot of tourists coming to China every year.,中国每年都有很多游客来旅游。 - Zhōngguó měi nián dōu yǒu hěnduō yóukè lái lǚyóu.,Zhōngguó měi nián dōu yǒu hěnduō yóukè lái lǚyóu. - There are a lot of tourists coming to China every year.,2
买东西的时候，要看一看东西过期了没有。,"Mǎi dōngxī de shíhòu, yào kàn yī kàn dōngxī guòqīle méiyǒu.","When you are buying things, you need to check it out if it is expired or not.","买东西的时候，要看一看东西过期了没有。 - Mǎi dōngxī de shíhòu, yào kàn yī kàn dōngxī guòqīle méiyǒu.","Mǎi dōngxī de shíhòu, yào kàn yī kàn dōngxī guòqīle méiyǒu. - When you are buying things, you need to check it out if it is expired or not.",2
他不习惯这儿的气候，太常下雨了。,"Tā bù xíguàn zhèr de qìhòu, tài cháng xiàyǔ le.","He is not used to the climate here, it rains too much.","他不习惯这儿的气候，太常下雨了。 - Tā bù xíguàn zhèr de qìhòu, tài cháng xiàyǔ le.","Tā bù xíguàn zhèr de qìhòu, tài cháng xiàyǔ le. - He is not used to the climate here, it rains too much.",3
夏天的时候，我喜欢到西班牙去旅游。,"Xiàtiān de shíhou, wǒ xǐhuan dào Xībānyá qù lǚyóu.","During the summer, I like to go travel to Spain.","夏天的时候，我喜欢到西班牙去旅游。 - Xiàtiān de shíhou, wǒ xǐhuan dào Xībānyá qù lǚyóu.","Xiàtiān de shíhou, wǒ xǐhuan dào Xībānyá qù lǚyóu. - During the summer, I like to go travel to Spain.",3
我爸妈同意我出国去读书了。,Wǒ bàmā tóngyì wǒ chūguó qù dúshū le.,My parent agree that I can go study abroad.,我爸妈同意我出国去读书了。 - Wǒ bàmā tóngyì wǒ chūguó qù dúshū le.,Wǒ bàmā tóngyì wǒ chūguó qù dúshū le. - My parent agree that I can go study abroad.,2
最近很多人感冒了。,Zuìjìn hěnduō rén gǎnmào le.,Many people have caught a cold recently.,最近很多人感冒了。 - Zuìjìn hěnduō rén gǎnmào le.,Zuìjìn hěnduō rén gǎnmào le. - Many people have caught a cold recently.,3
她不但感冒，还发烧。,"Tā bùdàn gǎnmào, hái fāshāo.","She's not just sick, but also has a fever.","她不但感冒，还发烧。 - Tā bùdàn gǎnmào, hái fāshāo.","Tā bùdàn gǎnmào, hái fāshāo. - She's not just sick, but also has a fever.",3
医生刚刚给我检查了身体。,Yīsheng gānggāng gěi wǒ jiǎnchá le shēntǐ.,The doctor just gave me a full body checkup.,医生刚刚给我检查了身体。 - Yīsheng gānggāng gěi wǒ jiǎnchá le shēntǐ.,Yīsheng gānggāng gěi wǒ jiǎnchá le shēntǐ. - The doctor just gave me a full body checkup.,3
你最好别晚睡了，对身体不好。,"Nǐ zuìhǎo bié wǎnshuì le, duì shēntǐ bùhǎo.","You'd better not stay up late, it's not good for your health.","你最好别晚睡了，对身体不好。 - Nǐ zuìhǎo bié wǎnshuì le, duì shēntǐ bùhǎo.","Nǐ zuìhǎo bié wǎnshuì le, duì shēntǐ bùhǎo. - You'd better not stay up late, it's not good for your health.",2
最近这公司找了很多高学历的人进去工作。,zuì jìn zhè gōng sī zhǎo le hěn duō gāo xué lì de rén jìnqù gōng zuò.,"These day, this company asked many workers of high educational background to work for them.",最近这公司找了很多高学历的人进去工作。 - zuì jìn zhè gōng sī zhǎo le hěn duō gāo xué lì de rén jìnqù gōng zuò.,"zuì jìn zhè gōng sī zhǎo le hěn duō gāo xué lì de rén jìnqù gōng zuò. - These day, this company asked many workers of high educational background to work for them.",3
我们公司因为事情很多决定要请两个人来帮忙。,Wǒmen gōngsī yīnwèi shìqíng hěn duō juédìng yào qǐng liǎng gè rén lái bāngmáng.,We have a lot to do in the company so we decide hire two more people to help.,我们公司因为事情很多决定要请两个人来帮忙。 - Wǒmen gōngsī yīnwèi shìqíng hěn duō juédìng yào qǐng liǎng gè rén lái bāngmáng.,Wǒmen gōngsī yīnwèi shìqíng hěn duō juédìng yào qǐng liǎng gè rén lái bāngmáng. - We have a lot to do in the company so we decide hire two more people to help.,3
我爸爸在北京做生意，每个月才回家一次。,"Wǒ bàba zài Běijīng zuò shēngyì, měi gè yuè cái huíjiā yí cì.","My father does business in Peking, he only comes home once a month.","我爸爸在北京做生意，每个月才回家一次。 - Wǒ bàba zài Běijīng zuò shēngyì, měi gè yuè cái huíjiā yí cì.","Wǒ bàba zài Běijīng zuò shēngyì, měi gè yuè cái huíjiā yí cì. - My father does business in Peking, he only comes home once a month.",3
我跟他有一样的爱好，我们都喜欢旅游。下次我们打算一起去中国旅游。,"Wǒ gēn tā yǒu yíyàng de àihào, wǒmen dōu xǐhuan lǚyóu. Xiàcì wǒmen dǎsuàn yìqǐ qù Zhōngguó lǚyóu.","He and I have the same hobby, we both love to travel. We are planning to travel to China next time.","我跟他有一样的爱好，我们都喜欢旅游。下次我们打算一起去中国旅游。 - Wǒ gēn tā yǒu yíyàng de àihào, wǒmen dōu xǐhuan lǚyóu. Xiàcì wǒmen dǎsuàn yìqǐ qù Zhōngguó lǚyóu.","Wǒ gēn tā yǒu yíyàng de àihào, wǒmen dōu xǐhuan lǚyóu. Xiàcì wǒmen dǎsuàn yìqǐ qù Zhōngguó lǚyóu. - He and I have the same hobby, we both love to travel. We are planning to travel to China next time.",3
我今天晚上没有时间做饭，我们叫外卖吧!,Wǒ jīntiān wǎnshàng méiyǒu shíjiān zuòfàn wǒmen jiào wàimài ba.,"I don't have time to cook tonight, let's call for take out!",我今天晚上没有时间做饭，我们叫外卖吧! - Wǒ jīntiān wǎnshàng méiyǒu shíjiān zuòfàn wǒmen jiào wàimài ba.,"Wǒ jīntiān wǎnshàng méiyǒu shíjiān zuòfàn wǒmen jiào wàimài ba. - I don't have time to cook tonight, let's call for take out!",2
我们假日的时候要不要一起去爬山?,Wǒmen jiàrì de shíhou yàobúyào yìqǐ qù páshān?,What about we go hiking during holidays?,我们假日的时候要不要一起去爬山? - Wǒmen jiàrì de shíhou yàobúyào yìqǐ qù páshān?,Wǒmen jiàrì de shíhou yàobúyào yìqǐ qù páshān? - What about we go hiking during holidays?,3
我今天已经遇到他三次了。,Wǒ jīntiān yǐjīng yùdào tā sāncì le.,"Today, I've run across him three times already.",我今天已经遇到他三次了。 - Wǒ jīntiān yǐjīng yùdào tā sāncì le.,"Wǒ jīntiān yǐjīng yùdào tā sāncì le. - Today, I've run across him three times already.",3
他妈妈对做菜很有热情，所以他每天都有很多好吃的菜可以吃,"Tā māmā duì zuò cài hěn yǒu rèqíng, suǒyǐ tā měitiān dōu yǒu hěnduō hǎo chī de cài kěyǐ chī.","His mom is very passionate about cooking, so he has a lot of delicious food every day.","他妈妈对做菜很有热情，所以他每天都有很多好吃的菜可以吃 - Tā māmā duì zuò cài hěn yǒu rèqíng, suǒyǐ tā měitiān dōu yǒu hěnduō hǎo chī de cài kěyǐ chī.","Tā māmā duì zuò cài hěn yǒu rèqíng, suǒyǐ tā měitiān dōu yǒu hěnduō hǎo chī de cài kěyǐ chī. - His mom is very passionate about cooking, so he has a lot of delicious food every day.",2
你的穿着很可爱，你的男朋友一定会喜欢。,"Nǐ de chuānzhuó hěn kěài, nǐ de nánpéngyou yídìng huì xǐhuan.","Your dress is so cute, your boyfriend will definitely like it.","你的穿着很可爱，你的男朋友一定会喜欢。 - Nǐ de chuānzhuó hěn kěài, nǐ de nánpéngyou yídìng huì xǐhuan.","Nǐ de chuānzhuó hěn kěài, nǐ de nánpéngyou yídìng huì xǐhuan. - Your dress is so cute, your boyfriend will definitely like it.",3
天气变冷了，你要多穿一点儿。,"Tiānqì biàn lěng le, nǐ yào duō chuān yìdiǎnr.","The weather is getting cold, you should dress warmer.","天气变冷了，你要多穿一点儿。 - Tiānqì biàn lěng le, nǐ yào duō chuān yìdiǎnr.","Tiānqì biàn lěng le, nǐ yào duō chuān yìdiǎnr. - The weather is getting cold, you should dress warmer.",3
下次假期我想去西班牙，你要一起来吗?,"Xiàcì jiàqī wǒ xiǎng qù Xībānyá, nǐ yào yìqǐ lái ma?",I want to go to Spain the next holiday. Do you want to come with me?,"下次假期我想去西班牙，你要一起来吗? - Xiàcì jiàqī wǒ xiǎng qù Xībānyá, nǐ yào yìqǐ lái ma?","Xiàcì jiàqī wǒ xiǎng qù Xībānyá, nǐ yào yìqǐ lái ma? - I want to go to Spain the next holiday. Do you want to come with me?",3
你应该很久没有出国去玩儿了吧，希望你有一个难忘的假期。,Nǐ yīnggāi hěnjiǔ méiyǒu chūguó qù wánr le ba xīwàng nǐ yǒu yí gè nánwàng de jiàqī.,"You haven't been abroad for a long time, have you? Hope you have an unforgettable vacation.",你应该很久没有出国去玩儿了吧，希望你有一个难忘的假期。 - Nǐ yīnggāi hěnjiǔ méiyǒu chūguó qù wánr le ba xīwàng nǐ yǒu yí gè nánwàng de jiàqī.,"Nǐ yīnggāi hěnjiǔ méiyǒu chūguó qù wánr le ba xīwàng nǐ yǒu yí gè nánwàng de jiàqī. - You haven't been abroad for a long time, have you? Hope you have an unforgettable vacation.",3
你有没有兴趣周末一起去健身房锻炼身体?,Nǐ yǒuméiyǒu xìngqù zhōumò yìqǐ qù jiànshēnfáng duànliàn shēntǐ?,Are you interested in working out at the gym this weekend?,你有没有兴趣周末一起去健身房锻炼身体? - Nǐ yǒuméiyǒu xìngqù zhōumò yìqǐ qù jiànshēnfáng duànliàn shēntǐ?,Nǐ yǒuméiyǒu xìngqù zhōumò yìqǐ qù jiànshēnfáng duànliàn shēntǐ? - Are you interested in working out at the gym this weekend?,3
他常常生病，应该多锻炼一下身体。,"Tā chángcháng shēngbìng, yīnggāi duō duànliàn yīxià shēntǐ.","He often gets sick, so he should exercise more.","他常常生病，应该多锻炼一下身体。 - Tā chángcháng shēngbìng, yīnggāi duō duànliàn yīxià shēntǐ.","Tā chángcháng shēngbìng, yīnggāi duō duànliàn yīxià shēntǐ. - He often gets sick, so he should exercise more.",3
最近越来越多人发现身体健康很重要，所以也越来越多人去健身房锻炼身体。,"Zuìjìn yuè lái yuè duō rén fāxiàn shēntǐ jiànkāng hěn zhòngyào, suǒyǐ Yě yuè lái yuè duō rén qù jiànshēnfáng duànliàn shēntǐ.","Recently, more and more people find it very important to be healthy, so more and more people are going to the gym to exercise.","最近越来越多人发现身体健康很重要，所以也越来越多人去健身房锻炼身体。 - Zuìjìn yuè lái yuè duō rén fāxiàn shēntǐ jiànkāng hěn zhòngyào, suǒyǐ Yě yuè lái yuè duō rén qù jiànshēnfáng duànliàn shēntǐ.","Zuìjìn yuè lái yuè duō rén fāxiàn shēntǐ jiànkāng hěn zhòngyào, suǒyǐ Yě yuè lái yuè duō rén qù jiànshēnfáng duànliàn shēntǐ. - Recently, more and more people find it very important to be healthy, so more and more people are going to the gym to exercise.",3
老师说只要完成今天的作业就可以下课了。,Lǎoshī shuō zhǐyào wánchéng jīntiān de zuòyè jiù kěyǐ xiàkè le.,The teacher said the class would be dismissed as long as we finished today's homework.,老师说只要完成今天的作业就可以下课了。 - Lǎoshī shuō zhǐyào wánchéng jīntiān de zuòyè jiù kěyǐ xiàkè le.,Lǎoshī shuō zhǐyào wánchéng jīntiān de zuòyè jiù kěyǐ xiàkè le. - The teacher said the class would be dismissed as long as we finished today's homework.,3
虽然我觉得生病应该多休息，不过如果你已经觉得好多了，就开始工作吧！,"Suīrán wǒ juédé shēngbìng yīnggāi duō xiūxí, bùguò rúguǒ nǐ yǐjīng juédé hǎoduōle, jiù kāishǐ gōngzuò ba!","I think you should rest more if you're sick, but since you already felt much better, let's begin to work!","虽然我觉得生病应该多休息，不过如果你已经觉得好多了，就开始工作吧！ - Suīrán wǒ juédé shēngbìng yīnggāi duō xiūxí, bùguò rúguǒ nǐ yǐjīng juédé hǎoduōle, jiù kāishǐ gōngzuò ba!","Suīrán wǒ juédé shēngbìng yīnggāi duō xiūxí, bùguò rúguǒ nǐ yǐjīng juédé hǎoduōle, jiù kāishǐ gōngzuò ba! - I think you should rest more if you're sick, but since you already felt much better, let's begin to work!",3
你刚才说什么？我没有听到，可以请你再说一次吗？,"Nǐ gāngcái shuō shénme? wǒ méiyǒu tīngdào, kěyǐ qǐng nǐzài shuōyí cì ma?","What did you just say? I didn't hear you, can you say that again?","你刚才说什么？我没有听到，可以请你再说一次吗？ - Nǐ gāngcái shuō shénme? wǒ méiyǒu tīngdào, kěyǐ qǐng nǐzài shuōyí cì ma?","Nǐ gāngcái shuō shénme? wǒ méiyǒu tīngdào, kěyǐ qǐng nǐzài shuōyí cì ma? - What did you just say? I didn't hear you, can you say that again?",3
我刚才没有听清楚你说什么，可以再说一次吗?,"Wǒ gāngcái méiyǒu tīng qīngchǔ nǐ shuō shénme, kěyǐ zàishuō yīcì ma?","I didn't hear well about what you just said, can you say that again?","我刚才没有听清楚你说什么，可以再说一次吗? - Wǒ gāngcái méiyǒu tīng qīngchǔ nǐ shuō shénme, kěyǐ zàishuō yīcì ma?","Wǒ gāngcái méiyǒu tīng qīngchǔ nǐ shuō shénme, kěyǐ zàishuō yīcì ma? - I didn't hear well about what you just said, can you say that again?",3
这道菜是我最喜欢的菜，很容易也很好做，你试试看。,"Zhè dào cài shì wǒ zuì xǐhuan de cài, hěn róngyì yě hěn hǎozuò, nǐ shìshìkàn.","This is my favorite dish, it's easy to cook, try it.","这道菜是我最喜欢的菜，很容易也很好做，你试试看。 - Zhè dào cài shì wǒ zuì xǐhuan de cài, hěn róngyì yě hěn hǎozuò, nǐ shìshìkàn.","Zhè dào cài shì wǒ zuì xǐhuan de cài, hěn róngyì yě hěn hǎozuò, nǐ shìshìkàn. - This is my favorite dish, it's easy to cook, try it.",3
你得的是感冒，得吃三天的药才行。,"Nǐ dé de shì gǎnmào, děi chī sān tiān de yào cái xíng.","You got a cold, you must take the medicine for three days.","你得的是感冒，得吃三天的药才行。 - Nǐ dé de shì gǎnmào, děi chī sān tiān de yào cái xíng.","Nǐ dé de shì gǎnmào, děi chī sān tiān de yào cái xíng. - You got a cold, you must take the medicine for three days.",3
A: 我听说你生病了，还好吗？ B: 没事，没事。,"A: Wǒ tīngshuō nǐ shēngbìng le, háihǎo ma? B: Méishì, méishì.","A: I heard you are sick, you okay? B: It's nothing, I am fine!","A: 我听说你生病了，还好吗？ B: 没事，没事。 - A: Wǒ tīngshuō nǐ shēngbìng le, háihǎo ma? B: Méishì, méishì.","A: Wǒ tīngshuō nǐ shēngbìng le, háihǎo ma? B: Méishì, méishì. - A: I heard you are sick, you okay? B: It's nothing, I am fine!",2
虽然已经吃了一些药，可是我觉得那些药没用，我还是需要去看医生。,"Suīrán yǐjīng chī le yìxiē yào, kěshì wǒ juéde nàxiē yào méiyòng, wǒ Háishì xūyào qù kàn yīshēng.","Although I've eaten some medicine, I think they are useless. I still need to see a doctor.","虽然已经吃了一些药，可是我觉得那些药没用，我还是需要去看医生。 - Suīrán yǐjīng chī le yìxiē yào, kěshì wǒ juéde nàxiē yào méiyòng, wǒ Háishì xūyào qù kàn yīshēng.","Suīrán yǐjīng chī le yìxiē yào, kěshì wǒ juéde nàxiē yào méiyòng, wǒ Háishì xūyào qù kàn yīshēng. - Although I've eaten some medicine, I think they are useless. I still need to see a doctor.",3
我没有什么办法，我们再想想吧。,"Wǒ méiyǒu shénme bànfǎ, wǒmen zài xiǎngxiǎng ba.","I don't have any solution, let's think about it.","我没有什么办法，我们再想想吧。 - Wǒ méiyǒu shénme bànfǎ, wǒmen zài xiǎngxiǎng ba.","Wǒ méiyǒu shénme bànfǎ, wǒmen zài xiǎngxiǎng ba. - I don't have any solution, let's think about it.",3
我最喜欢的季节是秋天，因为很漂亮。,"Wǒ zuì xǐhuan de jìjié shì qiūtiān, yīnwèi hěn piàoliang.",My favorite season is autumn because it is beautiful.,"我最喜欢的季节是秋天，因为很漂亮。 - Wǒ zuì xǐhuan de jìjié shì qiūtiān, yīnwèi hěn piàoliang.","Wǒ zuì xǐhuan de jìjié shì qiūtiān, yīnwèi hěn piàoliang. - My favorite season is autumn because it is beautiful.",3
你还年轻，不要这么快就决定以后要做什么。,"Nǐ hái niánqīng, búyào zhème kuài jiù juédìng yǐhòu yào zuò shénme.","You are still young, don't make the decisions about what you're going to do in your future too soon.","你还年轻，不要这么快就决定以后要做什么。 - Nǐ hái niánqīng, búyào zhème kuài jiù juédìng yǐhòu yào zuò shénme.","Nǐ hái niánqīng, búyào zhème kuài jiù juédìng yǐhòu yào zuò shénme. - You are still young, don't make the decisions about what you're going to do in your future too soon.",3
请问你有时间吗？我有些问题想要问你。,Qǐngwèn nǐ yǒu shíjiān ma? Wǒ yǒuxiē wèntí xiǎng yào wèn nǐ.,"Excuse, do you have time? I have some questions.",请问你有时间吗？我有些问题想要问你。 - Qǐngwèn nǐ yǒu shíjiān ma? Wǒ yǒuxiē wèntí xiǎng yào wèn nǐ.,"Qǐngwèn nǐ yǒu shíjiān ma? Wǒ yǒuxiē wèntí xiǎng yào wèn nǐ. - Excuse, do you have time? I have some questions.",2
你有解决这个问题的办法吗？,Nǐ yǒu jiějué zhège wèntí de bànfǎ ma?,Do you have any idea to solve this problem?,你有解决这个问题的办法吗？ - Nǐ yǒu jiějué zhège wèntí de bànfǎ ma?,Nǐ yǒu jiějué zhège wèntí de bànfǎ ma? - Do you have any idea to solve this problem?,3
我爸爸是个生意人，所以常常在外国工作。,"Wǒ bàba shì gè shēngyì rén, suǒyǐ chángcháng zài wàiguó gōngzuò.","My brother is a businessman, so he often works abroad.","我爸爸是个生意人，所以常常在外国工作。 - Wǒ bàba shì gè shēngyì rén, suǒyǐ chángcháng zài wàiguó gōngzuò.","Wǒ bàba shì gè shēngyì rén, suǒyǐ chángcháng zài wàiguó gōngzuò. - My brother is a businessman, so he often works abroad.",2
现在很多黑心的生意人常常卖不好的东西。,Xiànzài hěnduō hēixīn de shēngyì rén chángcháng mài bùhǎo de dōngxi.,Nowadays there are many dishonest businesspeople selling bad-quality products.,现在很多黑心的生意人常常卖不好的东西。 - Xiànzài hěnduō hēixīn de shēngyì rén chángcháng mài bùhǎo de dōngxi.,Xiànzài hěnduō hēixīn de shēngyì rén chángcháng mài bùhǎo de dōngxi. - Nowadays there are many dishonest businesspeople selling bad-quality products.,3
我妈妈总是跟说要努力读书以后才会有好工作。,Wǒ māmā zǒng shì gēn shuō yào nǔlì dúshū yǐhòu cái huì yǒu hǎo gōngzuò.,My mother always told me to study hard so that I can get a good job in the future.,我妈妈总是跟说要努力读书以后才会有好工作。 - Wǒ māmā zǒng shì gēn shuō yào nǔlì dúshū yǐhòu cái huì yǒu hǎo gōngzuò.,Wǒ māmā zǒng shì gēn shuō yào nǔlì dúshū yǐhòu cái huì yǒu hǎo gōngzuò. - My mother always told me to study hard so that I can get a good job in the future.,3
你做得饭真好吃，我吃得很饱。,"Nǐ zuò de fàn zhēn hǎochī, wǒ chī de hěn bǎo.","The dish you made is so delicious, I'm full.","你做得饭真好吃，我吃得很饱。 - Nǐ zuò de fàn zhēn hǎochī, wǒ chī de hěn bǎo.","Nǐ zuò de fàn zhēn hǎochī, wǒ chī de hěn bǎo. - The dish you made is so delicious, I'm full.",3
我跟他很久不见，他跟从前都不一样了。,"Wǒ gēn tā hěnjiǔ bújiàn, tā gēn cóngqián dōu bù yíyàng le.","I haven't seen him for a very long time, he's not the same as before.","我跟他很久不见，他跟从前都不一样了。 - Wǒ gēn tā hěnjiǔ bújiàn, tā gēn cóngqián dōu bù yíyàng le.","Wǒ gēn tā hěnjiǔ bújiàn, tā gēn cóngqián dōu bù yíyàng le. - I haven't seen him for a very long time, he's not the same as before.",3
这是图书馆的书，请不要在书上画记号。,"Zhè shì túshūguǎn de shū, qǐng búyào zài shūshàng huà jìhào.","This book is from the library, please don't make the mark on it.","这是图书馆的书，请不要在书上画记号。 - Zhè shì túshūguǎn de shū, qǐng búyào zài shūshàng huà jìhào.","Zhè shì túshūguǎn de shū, qǐng búyào zài shūshàng huà jìhào. - This book is from the library, please don't make the mark on it.",3
这个主意很不错，我们试试看吧。,"Zhè gè zhǔyi hěn búcuò, wǒmen shìshì kàn ba.","It's a pretty good idea, let's try it!","这个主意很不错，我们试试看吧。 - Zhè gè zhǔyi hěn búcuò, wǒmen shìshì kàn ba.","Zhè gè zhǔyi hěn búcuò, wǒmen shìshì kàn ba. - It's a pretty good idea, let's try it!",3
我不在乎其他人怎么想，我只在乎你怎么想。,"Wǒ bú zàihu qítā rén zěnme xiǎng, wǒ zhǐ zàihu nǐ zěnme xiǎng.","I don't care what other people think, I only care what you think.","我不在乎其他人怎么想，我只在乎你怎么想。 - Wǒ bú zàihu qítā rén zěnme xiǎng, wǒ zhǐ zàihu nǐ zěnme xiǎng.","Wǒ bú zàihu qítā rén zěnme xiǎng, wǒ zhǐ zàihu nǐ zěnme xiǎng. - I don't care what other people think, I only care what you think.",3
