Hanzi,Pinyin,English,Hanzi + Pinyin,Pinyin + English,HSK level
我的理想工作是当一个可以帮助别人的医生。,Wǒ de lǐxiǎng gōngzuò shì dāng yīgè kěyǐ bāngzhù biérén de yīshēng.,My ideal job is to become a doctor helping others.,我的理想工作是当一个可以帮助别人的医生。 - Wǒ de lǐxiǎng gōngzuò shì dāng yīgè kěyǐ bāngzhù biérén de yīshēng.,Wǒ de lǐxiǎng gōngzuò shì dāng yīgè kěyǐ bāngzhù biérén de yīshēng. - My ideal job is to become a doctor helping others.,3
你要不要留在这里吃晚饭再回家？,Nǐ yào bùyào liú zài zhèlǐ chī wǎnfàn zài huí jiā?,Do you want to stay here and eat dinner before you go home?,你要不要留在这里吃晚饭再回家？ - Nǐ yào bùyào liú zài zhèlǐ chī wǎnfàn zài huí jiā?,Nǐ yào bùyào liú zài zhèlǐ chī wǎnfàn zài huí jiā? - Do you want to stay here and eat dinner before you go home?,3
这家饭馆的服务很好,Zhè jiā fànguǎn de fúwù hěnhǎo.,This restaurant offers excellent service.,这家饭馆的服务很好 - Zhè jiā fànguǎn de fúwù hěnhǎo.,Zhè jiā fànguǎn de fúwù hěnhǎo. - This restaurant offers excellent service.,2
我的愿望是可以到中国学习汉语。,Wǒ de yuànwàng shì kěyǐ dào Zhōngguó xuéxi hànyǔ.,My wish is to go to China and study Chinese.,我的愿望是可以到中国学习汉语。 - Wǒ de yuànwàng shì kěyǐ dào Zhōngguó xuéxi hànyǔ.,Wǒ de yuànwàng shì kěyǐ dào Zhōngguó xuéxi hànyǔ. - My wish is to go to China and study Chinese.,3
如果你希望这个愿望可以实现就要努力。,Rúguǒ nǐ xīwàng zhègè yuànwàng kěyǐ shixiàn jiùyào nǔlì.,"If you want this dream to be realized, then you have to work hard.",如果你希望这个愿望可以实现就要努力。 - Rúguǒ nǐ xīwàng zhègè yuànwàng kěyǐ shixiàn jiùyào nǔlì.,"Rúguǒ nǐ xīwàng zhègè yuànwàng kěyǐ shixiàn jiùyào nǔlì. - If you want this dream to be realized, then you have to work hard.",3
他说的每一句话都不是实话，你不要相信他。,"Tā shuō de měi yījù huà dōu bùshì shíhuà, nǐ bùyào xiāngxìn tā.","Every sentence he said is not true, don't trust him.","他说的每一句话都不是实话，你不要相信他。 - Tā shuō de měi yījù huà dōu bùshì shíhuà, nǐ bùyào xiāngxìn tā.","Tā shuō de měi yījù huà dōu bùshì shíhuà, nǐ bùyào xiāngxìn tā. - Every sentence he said is not true, don't trust him.",3
他想到要跟朋友离别就很难过。,Tā xiǎngdào yào gēn péngyǒu líbié jiù hěn nánguò.,He felt sad thinking of being apart from his friends.,他想到要跟朋友离别就很难过。 - Tā xiǎngdào yào gēn péngyǒu líbié jiù hěn nánguò.,Tā xiǎngdào yào gēn péngyǒu líbié jiù hěn nánguò. - He felt sad thinking of being apart from his friends.,3
我喜欢在网上买衣服，因为比较便宜也比较方便。,"Wǒ xǐhuan zài wǎngshàng mǎi yīfu, yīnwèi bǐjiào piányí yě bǐjiào fāngbiàn.",I love to buy clothes online because they are cheaper and more convenient.,"我喜欢在网上买衣服，因为比较便宜也比较方便。 - Wǒ xǐhuan zài wǎngshàng mǎi yīfu, yīnwèi bǐjiào piányí yě bǐjiào fāngbiàn.","Wǒ xǐhuan zài wǎngshàng mǎi yīfu, yīnwèi bǐjiào piányí yě bǐjiào fāngbiàn. - I love to buy clothes online because they are cheaper and more convenient.",3
以前的老师觉得学生只要读书，不需要有其他想法。,"Yǐqián de lǎoshī juédé xuéshēng zhǐyào dúshū, bù xūyào yǒu qítā xiǎngfǎ.","Past teachers thought students only needed to student, didn't need any other ideas.","以前的老师觉得学生只要读书，不需要有其他想法。 - Yǐqián de lǎoshī juédé xuéshēng zhǐyào dúshū, bù xūyào yǒu qítā xiǎngfǎ.","Yǐqián de lǎoshī juédé xuéshēng zhǐyào dúshū, bù xūyào yǒu qítā xiǎngfǎ. - Past teachers thought students only needed to student, didn't need any other ideas.",3
你听见什么声音了吗？,Nǐ tīngjiàn shénme shēngyīn le ma?,Have you heard any sound?,你听见什么声音了吗？ - Nǐ tīngjiàn shénme shēngyīn le ma?,Nǐ tīngjiàn shénme shēngyīn le ma? - Have you heard any sound?,3
这块蛋糕是你吃的吗？,Zhè kuài dàngāo shì nǐ chī de ma?,Did you eat this piece of cake?,这块蛋糕是你吃的吗？ - Zhè kuài dàngāo shì nǐ chī de ma?,Zhè kuài dàngāo shì nǐ chī de ma? - Did you eat this piece of cake?,3
这双鞋子太名贵，我买不起。,"Zhè shuāng xiézi tài míngguì, wǒ mǎi bù qǐ.","This pair of shoes is too expensive, I cannot afford it.","这双鞋子太名贵，我买不起。 - Zhè shuāng xiézi tài míngguì, wǒ mǎi bù qǐ.","Zhè shuāng xiézi tài míngguì, wǒ mǎi bù qǐ. - This pair of shoes is too expensive, I cannot afford it.",3
他不愿意让妹妹一个人出国旅行。,Tā bú yuànyì ràng mèimei yígè rén chūguó lǚxíng.,He's not willing to let my younger sister travel abroad alone.,他不愿意让妹妹一个人出国旅行。 - Tā bú yuànyì ràng mèimei yígè rén chūguó lǚxíng.,Tā bú yuànyì ràng mèimei yígè rén chūguó lǚxíng. - He's not willing to let my younger sister travel abroad alone.,3
我今天得加班，不能去参加你的生日会了。,"Wǒ jīntiān dé jiābān, bùnéng qù cānjiā nǐ de shēngrì huìle.",I have to work overtime today so I can't go to your birthday party.,"我今天得加班，不能去参加你的生日会了。 - Wǒ jīntiān dé jiābān, bùnéng qù cānjiā nǐ de shēngrì huìle.","Wǒ jīntiān dé jiābān, bùnéng qù cānjiā nǐ de shēngrì huìle. - I have to work overtime today so I can't go to your birthday party.",3
游乐园的门票不贵可是总是很多人，所以我不太常去。,"Yóulèyuán de ménpiào búguì kěshì zǒngshì hěnduō rén, suǒyǐ wǒ bú tài cháng qù.",The ticket for the amusement park is not expensive but there are always too many people. Therefore I don't go often.,"游乐园的门票不贵可是总是很多人，所以我不太常去。 - Yóulèyuán de ménpiào búguì kěshì zǒngshì hěnduō rén, suǒyǐ wǒ bú tài cháng qù.","Yóulèyuán de ménpiào búguì kěshì zǒngshì hěnduō rén, suǒyǐ wǒ bú tài cháng qù. - The ticket for the amusement park is not expensive but there are always too many people. Therefore I don't go often.",3
今年过年我不打算回家。,Jīnnián guònián wǒ bù dǎsuàn huí jiā.,I'm not planning to go home for this new year celebration.,今年过年我不打算回家。 - Jīnnián guònián wǒ bù dǎsuàn huí jiā.,Jīnnián guònián wǒ bù dǎsuàn huí jiā. - I'm not planning to go home for this new year celebration.,3
这个周末请你来我家吃饭，我做我的拿手好菜给你吃。,"Zhège zhōumò qǐng nǐ lái wǒjiā chīfàn, wǒ zuò wǒ de náshǒu hào cài gěi nǐ chī.","Please come to my house to eat this weekend, I'll cook my best dish for you.","这个周末请你来我家吃饭，我做我的拿手好菜给你吃。 - Zhège zhōumò qǐng nǐ lái wǒjiā chīfàn, wǒ zuò wǒ de náshǒu hào cài gěi nǐ chī.","Zhège zhōumò qǐng nǐ lái wǒjiā chīfàn, wǒ zuò wǒ de náshǒu hào cài gěi nǐ chī. - Please come to my house to eat this weekend, I'll cook my best dish for you.",3
我跟我姐姐喜欢的东西都不同，但是我们还是很喜欢一起出去玩。,"Wǒ gēn wǒ jiějiě xǐhuān de dōngxī dū bùtóng, dànshì wǒmen háishì hěn xǐhuān yīqǐ chūqù wán.","My sister and I like different things, but we still like to go out together and have fun.","我跟我姐姐喜欢的东西都不同，但是我们还是很喜欢一起出去玩。 - Wǒ gēn wǒ jiějiě xǐhuān de dōngxī dū bùtóng, dànshì wǒmen háishì hěn xǐhuān yīqǐ chūqù wán.","Wǒ gēn wǒ jiějiě xǐhuān de dōngxī dū bùtóng, dànshì wǒmen háishì hěn xǐhuān yīqǐ chūqù wán. - My sister and I like different things, but we still like to go out together and have fun.",3
正常的工作时间是从早上九点到晚上六点。,Zhèngcháng de gōngzuò shíjiān shì cóng zǎoshang jiǔ diǎn dào wǎnshàng liù diǎn.,The normal working hours are nine a.m. to six p.m.,正常的工作时间是从早上九点到晚上六点。 - Zhèngcháng de gōngzuò shíjiān shì cóng zǎoshang jiǔ diǎn dào wǎnshàng liù diǎn.,Zhèngcháng de gōngzuò shíjiān shì cóng zǎoshang jiǔ diǎn dào wǎnshàng liù diǎn. - The normal working hours are nine a.m. to six p.m.,2
我家楼下有一家超市，超市旁边是一家饭馆。,"Wǒjiā lóuxià yǒu yījiā chāoshì, chāoshì pángbiān shì yījiā fànguǎn.",Our house has a supermarket downstairs and a restaurant near the supermarket.,"我家楼下有一家超市，超市旁边是一家饭馆。 - Wǒjiā lóuxià yǒu yījiā chāoshì, chāoshì pángbiān shì yījiā fànguǎn.","Wǒjiā lóuxià yǒu yījiā chāoshì, chāoshì pángbiān shì yījiā fànguǎn. - Our house has a supermarket downstairs and a restaurant near the supermarket.",3
这家饭馆很有名，吃饭时间都没有位子。,"Zhè jiā fànguǎn hěn yǒumíng, chīfàn shíjiān dōu méiyǒu wèizi.",This restaurant is so famous that there's often no seat in dining time.,"这家饭馆很有名，吃饭时间都没有位子。 - Zhè jiā fànguǎn hěn yǒumíng, chīfàn shíjiān dōu méiyǒu wèizi.","Zhè jiā fànguǎn hěn yǒumíng, chīfàn shíjiān dōu méiyǒu wèizi. - This restaurant is so famous that there's often no seat in dining time.",3
在中国很多特色小吃。,Zài Zhōngguó hěnduō tèsè xiǎochī.,There are many special snacks in Chinese food.,在中国很多特色小吃。 - Zài Zhōngguó hěnduō tèsè xiǎochī.,Zài Zhōngguó hěnduō tèsè xiǎochī. - There are many special snacks in Chinese food.,3
爸爸在看报纸。,Bàbɑ zài kàn bàozhǐ.,Dad's reading the newspaper.,爸爸在看报纸。 - Bàbɑ zài kàn bàozhǐ.,Bàbɑ zài kàn bàozhǐ. - Dad's reading the newspaper.,2
老师上课从来不迟到。,Lǎoshī shàngkè cónglái bù chídào.,The teacher is never late to the class.,老师上课从来不迟到。 - Lǎoshī shàngkè cónglái bù chídào.,Lǎoshī shàngkè cónglái bù chídào. - The teacher is never late to the class.,3
这个月几乎没下雨。,zhè ge yuè jīhū méi xiàyǔ.,This month it almost never rained.,这个月几乎没下雨。 - zhè ge yuè jīhū méi xiàyǔ.,zhè ge yuè jīhū méi xiàyǔ. - This month it almost never rained.,3
这么多工作，一时半会是做不完的。,Zhème duō gōngzuò ，yìshí bànhuì shì zuò bùwán de.,"The workload is too heavy, we will not finish for a while.",这么多工作，一时半会是做不完的。 - Zhème duō gōngzuò ，yìshí bànhuì shì zuò bùwán de.,"Zhème duō gōngzuò ，yìshí bànhuì shì zuò bùwán de. - The workload is too heavy, we will not finish for a while.",3
这雨下得很突然。,Zhè yǔ xià de hěn tūrán.,The rain came suddenly.,这雨下得很突然。 - Zhè yǔ xià de hěn tūrán.,Zhè yǔ xià de hěn tūrán. - The rain came suddenly.,3
你每天早上洗脸吗？,Nǐ měitiān zǎoshang xǐliǎn ma?,Do you wash your face every morning?,你每天早上洗脸吗？ - Nǐ měitiān zǎoshang xǐliǎn ma?,Nǐ měitiān zǎoshang xǐliǎn ma? - Do you wash your face every morning?,3
我错过最后一班公车了，怎么办？,"Wǒ cuòguò zuìhòu yì bān gōngchē le, zěnmebàn?","I missed the last bus, what can I do?","我错过最后一班公车了，怎么办？ - Wǒ cuòguò zuìhòu yì bān gōngchē le, zěnmebàn?","Wǒ cuòguò zuìhòu yì bān gōngchē le, zěnmebàn? - I missed the last bus, what can I do?",3
他没听电话，说不定是在开车，你不要担心。,"Tā méi tīng diànhuà, shuō budìng shì zài kāichē, nǐ búyào dānxīn.","Maybe he's driving so he couldn't answer the phone, don't worry.","他没听电话，说不定是在开车，你不要担心。 - Tā méi tīng diànhuà, shuō budìng shì zài kāichē, nǐ búyào dānxīn.","Tā méi tīng diànhuà, shuō budìng shì zài kāichē, nǐ búyào dānxīn. - Maybe he's driving so he couldn't answer the phone, don't worry.",3
找工作很难，他不能马上找到新的。,"Zhǎo gōngzuò hěn nán, tā bùnéng mǎshàng zhǎodào xīn de.","It's hard to find a job, he can't get a new job immediately.","找工作很难，他不能马上找到新的。 - Zhǎo gōngzuò hěn nán, tā bùnéng mǎshàng zhǎodào xīn de.","Zhǎo gōngzuò hěn nán, tā bùnéng mǎshàng zhǎodào xīn de. - It's hard to find a job, he can't get a new job immediately.",3
一直往前走。,Yīzhí wǎng qián zǒu.,Keep walking straight ahead.,一直往前走。 - Yīzhí wǎng qián zǒu.,Yīzhí wǎng qián zǒu. - Keep walking straight ahead.,3
一般来说，国定假日会放假。,"Yībān lái shuō, guódìng jiàrì huì fàngjià.","In general, we have days off on national holidays.","一般来说，国定假日会放假。 - Yībān lái shuō, guódìng jiàrì huì fàngjià.","Yībān lái shuō, guódìng jiàrì huì fàngjià. - In general, we have days off on national holidays.",3
他一边吃饭一边看电视。,Tā yībiān chīfàn yībiān kàn diànshì.,He watches TV while eating.,他一边吃饭一边看电视。 - Tā yībiān chīfàn yībiān kàn diànshì.,Tā yībiān chīfàn yībiān kàn diànshì. - He watches TV while eating.,2
我不但会唱歌，而且会跳舞。,"Wǒ bùdàn huì chànggē, érqiě huì tiàowǔ.",Not only do I sing but also I dance.,"我不但会唱歌，而且会跳舞。 - Wǒ bùdàn huì chànggē, érqiě huì tiàowǔ.","Wǒ bùdàn huì chànggē, érqiě huì tiàowǔ. - Not only do I sing but also I dance.",3
我教中文。,Wǒ jiào zhōngwén.,I teach Chinese.,我教中文。 - Wǒ jiào zhōngwén.,Wǒ jiào zhōngwén. - I teach Chinese.,3
他做这个是为了钱。,Tā zuò zhège shì wèile qián.,He did it for the money.,他做这个是为了钱。 - Tā zuò zhège shì wèile qián.,Tā zuò zhège shì wèile qián. - He did it for the money.,2
会议结束了。,Huìyì jiéshùle.,The meeting ended.,会议结束了。 - Huìyì jiéshùle.,Huìyì jiéshùle. - The meeting ended.,3
你想先去哪儿？,Nǐ xiǎng xiān qù nǎ'er?,Where would you like to go first?,你想先去哪儿？ - Nǐ xiǎng xiān qù nǎ'er?,Nǐ xiǎng xiān qù nǎ'er? - Where would you like to go first?,1
他是一百公斤。,Tā shì yībǎi gōngjīn.,He is a hundred kilos.,他是一百公斤。 - Tā shì yībǎi gōngjīn.,Tā shì yībǎi gōngjīn. - He is a hundred kilos.,3
其实我今天没去上课，因为生病了。,"Qíshí wǒ jīntiān méi qù shàngkè, yīnwèi shēngbìngle.","Actually, I did not go to class today because I was sick.","其实我今天没去上课，因为生病了。 - Qíshí wǒ jīntiān méi qù shàngkè, yīnwèi shēngbìngle.","Qíshí wǒ jīntiān méi qù shàngkè, yīnwèi shēngbìngle. - Actually, I did not go to class today because I was sick.",3
早晚都要记得刷牙。,Zǎowǎn dōu yào jìdé shuāyá.,Remember to brush your teeth in the morning and evening.,早晚都要记得刷牙。 - Zǎowǎn dōu yào jìdé shuāyá.,Zǎowǎn dōu yào jìdé shuāyá. - Remember to brush your teeth in the morning and evening.,3
你的包真好看！,Nǐ de bāo zhēn hǎokàn!,Your bag looks great!,你的包真好看！ - Nǐ de bāo zhēn hǎokàn!,Nǐ de bāo zhēn hǎokàn! - Your bag looks great!,3
他又得第一名了。,Tā yòu dé dì yī míngle.,He got first place again.,他又得第一名了。 - Tā yòu dé dì yī míngle.,Tā yòu dé dì yī míngle. - He got first place again.,3
我叔叔是个牙医。,Wǒ shūshu shìgè yáyī.,My uncle is a dentist.,我叔叔是个牙医。 - Wǒ shūshu shìgè yáyī.,Wǒ shūshu shìgè yáyī. - My uncle is a dentist.,3
这个句子很难。,Zhège jùzi hěn nán.,This sentence is very difficult.,这个句子很难。 - Zhège jùzi hěn nán.,Zhège jùzi hěn nán. - This sentence is very difficult.,3
过年就是要高高兴兴地和家人一起玩儿。,Guònián jiùshì yào gāo gāoxìng xìng de hé jiārén yīqǐ wán er.,New Year is about happily enjoying time with my family.,过年就是要高高兴兴地和家人一起玩儿。 - Guònián jiùshì yào gāo gāoxìng xìng de hé jiārén yīqǐ wán er.,Guònián jiùshì yào gāo gāoxìng xìng de hé jiārén yīqǐ wán er. - New Year is about happily enjoying time with my family.,3
多么冷啊！,Duōme lěng a!,How cold it is!,多么冷啊！ - Duōme lěng a!,Duōme lěng a! - How cold it is!,3
今天面店有很多客人。,Jīntiān miàn diàn yǒu hěnduō kèrén.,There are many customers today at the noodle shop.,今天面店有很多客人。 - Jīntiān miàn diàn yǒu hěnduō kèrén.,Jīntiān miàn diàn yǒu hěnduō kèrén. - There are many customers today at the noodle shop.,1
他和他弟弟的房间都很干净。,Tā hé tā dìdì de fángjiān dōu hěn gānjìng.,Both his and his brother's room are quite clean.,他和他弟弟的房间都很干净。 - Tā hé tā dìdì de fángjiān dōu hěn gānjìng.,Tā hé tā dìdì de fángjiān dōu hěn gānjìng. - Both his and his brother's room are quite clean.,3
这个年级的孩子特别天真。,Zhège niánjí de háizi tèbié tiānzhēn.,Children at this age are particularly naive.,这个年级的孩子特别天真。 - Zhège niánjí de háizi tèbié tiānzhēn.,Zhège niánjí de háizi tèbié tiānzhēn. - Children at this age are particularly naive.,3
她的中文成绩很好。,Tā de zhōngwén chéngjì hěn hǎo.,She got good grades in Chinese.,她的中文成绩很好。 - Tā de zhōngwén chéngjì hěn hǎo.,Tā de zhōngwén chéngjì hěn hǎo. - She got good grades in Chinese.,3
请帮我打扫房子。,Qǐng bāng wǒ dǎsǎo fángzi.,Please help me clean the house.,请帮我打扫房子。 - Qǐng bāng wǒ dǎsǎo fángzi.,Qǐng bāng wǒ dǎsǎo fángzi. - Please help me clean the house.,3
我的数学不太好。,Wǒ de shùxué bù tài hǎo.,I'm not very good at math.,我的数学不太好。 - Wǒ de shùxué bù tài hǎo.,Wǒ de shùxué bù tài hǎo. - I'm not very good at math.,3
春天下很多雨。,Chūntiān xià hěnduō yǔ.,It rains a lot in spring.,春天下很多雨。 - Chūntiān xià hěnduō yǔ.,Chūntiān xià hěnduō yǔ. - It rains a lot in spring.,3
你需要更多吗？,Nǐ xūyào gèng duō ma?,Do you need more?,你需要更多吗？ - Nǐ xūyào gèng duō ma?,Nǐ xūyào gèng duō ma? - Do you need more?,3
她是最后一个来的。,Tā shì zuìhòu yīgè lái de.,She is the last one to come.,她是最后一个来的。 - Tā shì zuìhòu yīgè lái de.,Tā shì zuìhòu yīgè lái de. - She is the last one to come.,2
这次考试比较容易。,Zhè cì kǎoshì bǐjiào róngyì.,The exam was relatively easy.,这次考试比较容易。 - Zhè cì kǎoshì bǐjiào róngyì.,Zhè cì kǎoshì bǐjiào róngyì. - The exam was relatively easy.,3
我每晚洗澡。,Wǒ měi wǎn xǐzǎo.,I bathe every night.,我每晚洗澡。 - Wǒ měi wǎn xǐzǎo.,Wǒ měi wǎn xǐzǎo. - I bathe every night.,3
你渴吗？,Nǐ kě ma?,Are you thirsty?,你渴吗？ - Nǐ kě ma?,Nǐ kě ma? - Are you thirsty?,3
他对结果很满意。,Tā duì jiéguǒ hěn mǎnyì.,He's very satisfied with the results.,他对结果很满意。 - Tā duì jiéguǒ hěn mǎnyì.,Tā duì jiéguǒ hěn mǎnyì. - He's very satisfied with the results.,3
我照顾我的爷爷。,Wǒ zhàogù wǒ de yéyé.,I take care of my grandfather.,我照顾我的爷爷。 - Wǒ zhàogù wǒ de yéyé.,Wǒ zhàogù wǒ de yéyé. - I take care of my grandfather.,3
请打开瓶子。,Qǐng dǎkāi píngzi.,Please open the bottle.,请打开瓶子。 - Qǐng dǎkāi píngzi.,Qǐng dǎkāi píngzi. - Please open the bottle.,3
怎么用筷子？,Zěnme yòng kuàizi?,How do you use chopsticks?,怎么用筷子？ - Zěnme yòng kuàizi?,Zěnme yòng kuàizi? - How do you use chopsticks?,3
电梯在哪里？,Diàntī zài nǎlǐ?,Where is the elevator?,电梯在哪里？ - Diàntī zài nǎlǐ?,Diàntī zài nǎlǐ? - Where is the elevator?,3
他买了一双黑色皮鞋。,Tā mǎile yīshuāng hēisè píxié.,He bought a pair of black leather shoes.,他买了一双黑色皮鞋。 - Tā mǎile yīshuāng hēisè píxié.,Tā mǎile yīshuāng hēisè píxié. - He bought a pair of black leather shoes.,3
她的头发很短。,Tā de tóufǎ hěn duǎn.,Her hair is very short.,她的头发很短。 - Tā de tóufǎ hěn duǎn.,Tā de tóufǎ hěn duǎn. - Her hair is very short.,3
房间有没有空调？,Fángjiān yǒu méiyǒu kōngtiáo?,Does the room have air conditioning or not?,房间有没有空调？ - Fángjiān yǒu méiyǒu kōngtiáo?,Fángjiān yǒu méiyǒu kōngtiáo? - Does the room have air conditioning or not?,3
他跑了一百米。,Tā pǎole yībǎi mǐ.,He ran a hundred meters.,他跑了一百米。 - Tā pǎole yībǎi mǐ.,Tā pǎole yībǎi mǐ. - He ran a hundred meters.,2
她要求要见见经理。,Tā yāoqiú yào jiàn jiàn jīnglǐ.,She demanded to see the manager.,她要求要见见经理。 - Tā yāoqiú yào jiàn jiàn jīnglǐ.,Tā yāoqiú yào jiàn jiàn jīnglǐ. - She demanded to see the manager.,3
学期刚刚结束了！,Xuéqī gānggāng jiéshùle!,The semester just ended!,学期刚刚结束了！ - Xuéqī gānggāng jiéshùle!,Xuéqī gānggāng jiéshùle! - The semester just ended!,3
他们正在聊天。,Tāmen zhèngzài liáotiān.,They are chatting.,他们正在聊天。 - Tāmen zhèngzài liáotiān.,Tāmen zhèngzài liáotiān. - They are chatting.,3
这个节目八点开始。,Zhège jiémù bā diǎn kāishǐ.,The program starts at eight o'clock.,这个节目八点开始。 - Zhège jiémù bā diǎn kāishǐ.,Zhège jiémù bā diǎn kāishǐ. - The program starts at eight o'clock.,3
她有双蓝眼睛。,Tā yǒu shuāng lán yǎnjīng.,She has blue eyes.,她有双蓝眼睛。 - Tā yǒu shuāng lán yǎnjīng.,Tā yǒu shuāng lán yǎnjīng. - She has blue eyes.,3
我要他提行李箱。,Wǒ yào tā tí xínglǐ xiāng。,I made him carry the suitcase.,我要他提行李箱。 - Wǒ yào tā tí xínglǐ xiāng。,Wǒ yào tā tí xínglǐ xiāng。 - I made him carry the suitcase.,3
他被开除了。,Tā bèi kāi chúle.,He was fired.,他被开除了。 - Tā bèi kāi chúle.,Tā bèi kāi chúle. - He was fired.,3
你有中文词典吗？,Nǐ yǒu zhōng wén cídiǎn ma?,Do you have a Chinese dictionary?,你有中文词典吗？ - Nǐ yǒu zhōng wén cídiǎn ma?,Nǐ yǒu zhōng wén cídiǎn ma? - Do you have a Chinese dictionary?,3
最近越来越多人发现身体健康很重要，所以也越来越多人去健身房锻炼身体。,"Zuìjìn yuè lái yuè duō rén fāxiàn shēntǐ jiànkāng hěn zhòngyào, suǒyǐ Yě yuè lái yuè duō rén qù jiànshēnfáng duànliàn shēntǐ.","Recently, more and more people find it very important to be healthy, so more and more people are going to the gym to exercise.","最近越来越多人发现身体健康很重要，所以也越来越多人去健身房锻炼身体。 - Zuìjìn yuè lái yuè duō rén fāxiàn shēntǐ jiànkāng hěn zhòngyào, suǒyǐ Yě yuè lái yuè duō rén qù jiànshēnfáng duànliàn shēntǐ.","Zuìjìn yuè lái yuè duō rén fāxiàn shēntǐ jiànkāng hěn zhòngyào, suǒyǐ Yě yuè lái yuè duō rén qù jiànshēnfáng duànliàn shēntǐ. - Recently, more and more people find it very important to be healthy, so more and more people are going to the gym to exercise.",3
我们跟他们一起去！,Wǒmen gēn tāmen yīqǐ qù!,We'll go together with them!,我们跟他们一起去！ - Wǒmen gēn tāmen yīqǐ qù!,Wǒmen gēn tāmen yīqǐ qù! - We'll go together with them!,3
我还是单身。,Wǒ háishì dānshēn.,I'm still single.,我还是单身。 - Wǒ háishì dānshēn.,Wǒ háishì dānshēn. - I'm still single.,3
除了她没有人来。,Chúle tā méiyǒu rén lái.,No one came except her.,除了她没有人来。 - Chúle tā méiyǒu rén lái.,Chúle tā méiyǒu rén lái. - No one came except her.,3
他每天早上吃法国面包。,Tā měitiān zǎoshang chī fǎguó miànbāo.,He eats french bread every morning.,他每天早上吃法国面包。 - Tā měitiān zǎoshang chī fǎguó miànbāo.,Tā měitiān zǎoshang chī fǎguó miànbāo. - He eats french bread every morning.,3
我喜欢听音乐。,Wǒ xǐhuān tīng yīnyuè.,I like to listen to music.,我喜欢听音乐。 - Wǒ xǐhuān tīng yīnyuè.,Wǒ xǐhuān tīng yīnyuè. - I like to listen to music.,3
我想喝点的饮料。,Wǒ xiǎng hē diǎn de yǐnliào.,I want to drink a little something.,我想喝点的饮料。 - Wǒ xiǎng hē diǎn de yǐnliào.,Wǒ xiǎng hē diǎn de yǐnliào. - I want to drink a little something.,3
这只鸟不能飞。,Zhè zhī niǎo bùnéng fēi.,This bird can't fly.,这只鸟不能飞。 - Zhè zhī niǎo bùnéng fēi.,Zhè zhī niǎo bùnéng fēi. - This bird can't fly.,3
